Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Evaluation Window,Rows,High Vol Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Top 10% Alerts,Top 10% Precision,Top 10% Recall,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,CV/Validation Average Precision,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,calibration,350,0.22285714285714286,probability,0.2895229065141757,0.5375895550527904,0.19030783780653496,0.6589641384714213,0.13377927951198734,35,0.45714285714285713,0.20512820512820512,70,0.38571428571428573,0.34615384615384615,315,0.2,0.8076923076923077,,0.0,2.9209750559999748,0.0,2.382053274499981,5.303028330499956,5.303028330499956,direct TFM base context excludes calibration-window labels,,
Rule[SPY realized volatility 20d],Rule,domain_rule,spy_rv_20d,none,none,calibration,350,0.22285714285714286,raw_score,0.26732343426784066,0.5623114630467572,,,,35,0.11428571428571428,0.05128205128205128,70,0.32857142857142857,0.2948717948717949,308,0.20454545454545456,0.8076923076923077,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,holdout,500,0.238,probability,0.6859106425146284,0.8267275414102649,0.12358926380884867,0.4016605564308692,0.040889446747489254,50,0.82,0.3445378151260504,100,0.65,0.5462184873949579,224,0.42857142857142855,0.8067226890756303,,0.0,2.9209750559999748,0.0,2.382053274499981,5.303028330499956,5.303028330499956,direct TFM base context excludes calibration-window labels,,
TabPFN[Direct all-history],TabPFN,direct_tfm,Raw all-history direct TFM context,TabPFN,none,holdout,500,0.238,probability,0.6740243983149548,0.8349323981561128,0.12518433043606245,0.40288280593984527,0.04200119305821136,50,0.78,0.3277310924369748,100,0.68,0.5714285714285714,208,0.46153846153846156,0.8067226890756303,,0.0,2.087017123999999,0.0,4.79945155300004,6.886468677000039,6.886468677000039,direct TFM classifier fitted on all pre-holdout labels; no task-specific weight training claim is made,,
TabPFN[Direct all-history] Calibration Base,TabPFN,direct_tfm_calibration_base,Raw all-history direct TFM context,TabPFN,none_calibration_base,holdout,500,0.238,probability,0.6601775521721448,0.8195152076578662,0.13503633996538175,0.44494713775390743,0.07645582268852742,50,0.76,0.31932773109243695,100,0.67,0.5630252100840336,197,0.4873096446700508,0.8067226890756303,,0.0,1.841182128000014,0.0,3.5223183219999896,5.363500450000004,5.363500450000004,direct TFM base context excludes calibration-window labels,,
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,holdout,500,0.238,probability,0.6434662695363361,0.7767595227067206,0.19319425882333294,0.7614332048725525,0.19819891942758114,50,0.82,0.3445378151260504,100,0.68,0.5714285714285714,280,0.34285714285714286,0.8067226890756303,0.8108695652173914,12.879726707999907,24.428219745999968,0.0,0.037834694500020305,24.46605444049999,37.345781148499896,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 8.342988013047341, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 6.599971130767507, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 5.00336351436056, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.7113095778449228}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,holdout,500,0.238,probability,0.6434662695363361,0.7767595227067206,0.15123345618845524,0.4758566116822012,0.11768666077953976,50,0.82,0.3445378151260504,100,0.68,0.5714285714285714,280,0.34285714285714286,0.8067226890756303,0.8108695652173914,12.879726707999907,24.428219745999968,0.02702470499991705,0.005081483999958891,24.460325934999844,37.34005264299975,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 8.342988013047341, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 6.599971130767507, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 5.00336351436056, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.7113095778449228}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,holdout,500,0.238,probability,0.6421300287344884,0.8297381944903945,0.18525843042077314,0.7078925710327904,0.19034188166353855,50,0.84,0.35294117647058826,100,0.67,0.5630252100840336,218,0.44036697247706424,0.8067226890756303,0.8243902439024391,0.0,14.469919561999973,0.0,0.01879948699996703,14.48871904899994,14.48871904899994,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.952672307692442}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,holdout,500,0.238,probability,0.6421300287344884,0.8297381944903945,0.1573189971066838,0.4896145423025091,0.1477880910185232,50,0.84,0.35294117647058826,100,0.67,0.5630252100840336,218,0.44036697247706424,0.8067226890756303,0.8243902439024391,0.0,14.469919561999973,0.019737801000019317,0.0036313155000016195,14.493288678499994,14.493288678499994,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.952672307692442}",
Rule[VIX close],Rule,domain_rule,vix_close,none,none,holdout,500,0.238,raw_score,0.6405026074495641,0.8310174463486182,,,,50,0.72,0.3025210084033613,100,0.66,0.5546218487394958,197,0.4873096446700508,0.8067226890756303,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
Rule[SPY realized volatility 20d],Rule,domain_rule,spy_rv_20d,none,none,holdout,500,0.238,raw_score,0.6157605507459528,0.8121264253732988,,,,50,0.7,0.29411764705882354,100,0.62,0.5210084033613446,212,0.4528301886792453,0.8067226890756303,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
TabICL[Direct all-history],TabICL,direct_tfm,Raw all-history direct TFM context,TabICL,none,holdout,500,0.238,probability,0.59795303893453,0.7748627009859061,0.14241358344735477,0.4467002825461314,0.05395705226890278,50,0.74,0.31092436974789917,100,0.59,0.4957983193277311,275,0.3490909090909091,0.8067226890756303,,0.0,3.1728752679999843,0.0,2.9833799649999264,6.156255232999911,6.156255232999911,direct TFM classifier fitted on all pre-holdout labels; no task-specific weight training claim is made,,
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,holdout,500,0.238,probability,0.5954806561023959,0.7753148503495887,0.15159864053710426,0.5131599777770848,0.10089176240237432,50,0.7,0.29411764705882354,100,0.63,0.5294117647058824,263,0.3650190114068441,0.8067226890756303,0.5671010081348425,0.0,45.57278522899992,0.0,0.022889996499998233,45.59567522549992,45.59567522549992,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 2.1343747458109497, ""subsample"": 0.952672307692442}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,holdout,500,0.238,probability,0.5954806561023959,0.7753148503495887,0.15395465621289164,0.503623167593506,0.11037652529637551,50,0.7,0.29411764705882354,100,0.63,0.5294117647058824,263,0.3650190114068441,0.8067226890756303,0.5671010081348425,0.0,45.57278522899992,0.028814404000058857,0.004652880499975254,45.60625251349995,45.60625251349995,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 2.1343747458109497, ""subsample"": 0.952672307692442}",
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,holdout,500,0.238,probability,0.5926632924108319,0.7855047530823354,0.1412660064687364,0.45750681359552337,0.062284487731754795,50,0.7,0.29411764705882354,100,0.65,0.5462184873949579,280,0.34285714285714286,0.8067226890756303,0.5671010081348425,0.0,46.57043854899996,0.0,0.03546915000003992,46.605907699,46.605907699,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; tuned chronologically and refit on final pre-holdout labels,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 2.1343747458109497, ""subsample"": 0.952672307692442}",
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,holdout,500,0.238,probability,0.5923173153035848,0.7665806480072346,0.18853184246165186,0.8871196882168304,0.19225633955490778,50,0.78,0.3277310924369748,100,0.64,0.5378151260504201,301,0.31893687707641194,0.8067226890756303,0.8067567567567568,14.231024340999909,19.03589126199995,0.0,0.03536864649998961,19.07125990849994,33.30228424949985,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.02397338207928648, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 5.645066779546335, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 5.159258269284958, ""scale_pos_weight"": 24.0, ""subsample"": 0.6280140940784975}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,holdout,500,0.238,probability,0.5923173153035848,0.7665806480072346,0.16929493219727992,0.518132736705583,0.1400738217172961,50,0.78,0.3277310924369748,100,0.64,0.5378151260504201,301,0.31893687707641194,0.8067226890756303,0.8067567567567568,14.231024340999909,19.03589126199995,0.027082143999905384,0.004918309999993653,19.06789171599985,33.29891605699976,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.02397338207928648, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 5.645066779546335, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 5.159258269284958, ""scale_pos_weight"": 24.0, ""subsample"": 0.6280140940784975}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,holdout,500,0.238,probability,0.528958423254691,0.7345111272855599,0.17802234197410294,0.5824532884462358,0.14406462085060776,50,0.68,0.2857142857142857,100,0.57,0.4789915966386555,331,0.29003021148036257,0.8067226890756303,0.8243902439024391,0.0,15.264238492999993,0.0,0.03420008900002358,15.298438582000017,15.298438582000017,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.34054025892686846, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.17928063051726983, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.5262366889033188, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.952672307692442}",
XGBoost[Raw + TabPFN embeddings],XGBoost,classical,Raw + TabPFN embeddings,TabPFN,none,holdout,500,0.238,probability,0.502959101012211,0.6755773175411897,0.18193218669582528,0.7557620095952313,0.15958545108116234,50,0.68,0.2857142857142857,100,0.52,0.4369747899159664,368,0.2608695652173913,0.8067226890756303,0.8067567567567568,14.231024340999909,20.06278824000003,0.0,0.05785556699993322,20.120643806999965,34.351668147999874,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.02397338207928648, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 5.645066779546335, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 5.159258269284958, ""scale_pos_weight"": 24.0, ""subsample"": 0.6280140940784975}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,holdout,500,0.238,probability,0.4682777759962482,0.7042722600851364,0.19957256786901137,0.7268081760092894,0.18324439274054022,50,0.48,0.20168067226890757,100,0.48,0.40336134453781514,311,0.3086816720257235,0.8067226890756303,0.8108695652173914,12.879726707999907,25.362790562999976,0.0,0.07806892200005677,25.440859485000033,38.32058619299994,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 8.342988013047341, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 6.599971130767507, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 5.00336351436056, ""scale_pos_weight"": 4.898979485566356, ""subsample"": 0.7113095778449228}",
Dummy[Prior probability],Dummy,baseline,Raw,none,none,holdout,500,0.238,probability,0.238,0.5,0.18388686390532546,0.5565639860589965,0.15000000000000002,50,0.34,0.14285714285714285,100,0.28,0.23529411764705882,392,0.24489795918367346,0.8067226890756303,,0.0,0.0,0.0,0.0,0.0,0.0,prior probability from all pre-holdout labels,,
