Feature,Preholdout Mean,Holdout Mean,Preholdout Std,Holdout Std,PSI
yield_curve_10y_2y,1.2869384615384614,0.24037999999999998,0.8676073687081783,0.6227211405096787,4.390897406751408
computed_yield_curve_10y_2y,1.2869384615384614,0.24037999999999998,0.8676073687081783,0.6227211405096787,4.377608493223957
fed_funds_rate,1.239702564102564,2.7823599999999997,1.606147794429628,2.1842914385624335,4.045464206358547
corr_spy_tlt_126d,-0.392930488254384,-0.04253049392334313,0.20171554199480057,0.2380281278886254,3.077600962397189
iwm_rv_126d,0.20658029718078852,0.24968623555044053,0.0985600991854645,0.0855133331213776,2.57299022641547
corr_spy_eem_126d,0.8018895004670552,0.6959286852066451,0.09545389206031957,0.10599538387053713,2.5638126394890075
corr_qqq_tlt_126d,-0.33640784475193886,-0.0033817024020633183,0.20024870190753571,0.22240046806752262,2.3083142876779252
treasury_10y_yield,2.7898102564102563,3.00442,0.9360659765557661,1.4020172496573182,2.0066191591983107
vnq_rv_126d,0.22616668213732738,0.2167762707364937,0.19005596963908547,0.10785173457530127,1.9941436169660032
vnq_volume_volatility_20d,0.4132969238473766,0.3021201607727756,0.1565354773098305,0.08069964705229904,1.8937119636211626
iwm_rv_60d,0.20208470614831542,0.24374008277276368,0.10475243863206114,0.1020930895510555,1.884277153590286
qqq_rv_126d,0.18519502209645558,0.23534654083788775,0.07683552139251536,0.08380366077225092,1.7778673276700683
corr_qqq_tlt_60d,-0.3321481603650681,0.009740864707117186,0.23086968230258062,0.2328945224381989,1.7038445414409413
treasury_2y_yield,1.502871794871795,2.7640399999999996,1.3669480257322237,1.8342282477733942,1.6977544344932733
corr_spy_tlt_60d,-0.3860306277005544,-0.0314932221249753,0.24135114076333716,0.26837887853949366,1.691500423724261
vnq_rv_60d,0.21985592502218354,0.20992962891570044,0.1949119557049472,0.1213093534845303,1.6466916065462103
tlt_volume_volatility_20d,0.45600367620066934,0.3733038494838846,0.11748397215852852,0.07327658201420686,1.6105933704631545
gld_rv_126d,0.16736111594477865,0.16140421869633526,0.06370799897566354,0.03834821530971468,1.601975719303499
vnq_downside_rv_126d,0.136180512982594,0.1363035269403028,0.11264952498395052,0.08394118180897801,1.5940260519025709
spy_downside_rv_126d,0.09918247487374031,0.11480575731142248,0.05603030364197965,0.06316780482837407,1.5469007342745673
spy_rv_126d,0.1595302278246452,0.18503166465380333,0.08879143507969994,0.08836083730196906,1.4932877207821174
vnq_downside_rv_60d,0.13023584147757586,0.1292232136894911,0.11427032290118737,0.09037972798731464,1.4063787873968507
