split,rows,months,positive_rows,positive_rate,start,end
context,1784,72,360,0.20179372197309417,2006-01-31,2011-12-31
model_selection,3584,144,720,0.20089285714285715,2006-01-31,2017-12-31
calibration,600,24,120,0.2,2018-01-31,2019-12-31
preholdout,4184,168,840,0.20076481835564053,2006-01-31,2019-12-31
holdout,1875,75,375,0.2,2020-01-31,2026-03-31
