metric,value
feature_set_variant,identity_ablated
candidate_numeric_features_after_variant,481
excluded_variant_features,34
retained_base_features,481
missing_indicator_features,475
final_model_features,956
feature_max_missing_rate,0.35
feature_min_selection_observations,36
