month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[6M momentum top-k],Rule[6M momentum top-k] | inverse-vol capped top-k,Rule[Risk-adjusted momentum top-k],Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] | inverse-vol capped top-k,TabPFN[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibration Base,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,-0.05454847668395909,-0.07824855148117732,-0.017954949330432166,-0.03890120830390949,-0.04340958201906335,-0.00843924599595799,-0.07124427992133879,-0.07267990092746379,-0.05503703258087349,-0.05498203724599461,-0.06853598691531997,-0.06534163308350202,-0.030422599747479507,-0.0188034151741154,-0.09263342433011168,-0.09271188314512105,-0.08947657096890316,-0.08840909412827555,-0.08947657096890316,-0.08840909412827555
2020-02,-0.14485397448749124,-0.16354883246328245,-0.06355532617462784,-0.09406408179588291,-0.04848885651794464,-0.02942742055309016,-0.08378603118809134,-0.0685035754334394,0.010805934867512136,0.00036608477268484235,-0.21124395830698203,-0.20420655303460325,-0.17445156897122138,-0.14934498821874426,-0.23175030964119794,-0.22422296435534744,-0.24134235848456448,-0.2375171942029971,-0.24134235848456448,-0.2375171942029971
2020-03,0.10528200713632334,0.15053654765954327,0.08851115331442583,0.045917915137986653,0.05277367253085481,0.019483627073350607,0.043719864066967394,0.020192428131976622,0.022697559544136058,0.015069658095050528,0.03609044110287953,0.030189805922798588,0.03629044110287953,0.03040459758240942,0.021697559544136057,0.014209627557853745,0.021697559544136057,0.014209627557853745,0.021697559544136057,0.014209627557853745
2020-04,0.05812329595641532,0.06417575873589687,0.026107533281203257,0.02708357193137887,0.03463873402695539,0.018098019703110715,0.03463873402695539,0.020138948515452237,0.023943488097882003,0.01527640387136272,0.09104838403089517,0.10230363800050007,0.0652570445688518,0.05198002036215284,0.06124498935044816,0.04969115233972246,0.07337112929325938,0.06406934735100563,0.07337112929325938,0.06406934735100563
2020-05,0.019992743992486177,0.0240835869598095,0.01667340110879505,0.009764824587906128,0.03624296028853332,0.009376384146327243,0.03469606784732387,0.022645454850808475,0.03604296028853332,0.029664392655206376,0.034396817862393014,0.032469870158610255,0.02614140833172076,0.026193595760396322,0.02944966364652184,0.03049859878363183,0.018190879536240056,0.01785048171467289,0.018190879536240056,0.01785048171467289
2020-06,0.05777399472309771,0.0605683335136149,0.052600912267173686,0.036549297752321734,0.1258291859031951,0.03749429585922324,0.06201433662894509,0.05181169575597218,0.132433960383162,0.1341400757708616,0.084488416782048,0.11877773994141044,0.09084692301489747,0.12322076859813187,0.0699055312630073,0.07608151653104217,0.06836602580307737,0.07468532178712962,0.06836602580307737,0.07468532178712962
2020-07,0.03652971165383368,0.06667251124797846,0.022756203179844545,0.016659469153900118,0.07497731572682158,-0.0032737759801939824,0.07477731572682157,0.0471418718024511,0.10221265583802913,0.08388921967537537,0.03985023605162596,0.040686068684810936,0.05158467246087766,0.047710721192675186,0.06392321885081793,0.07737662046493617,0.029082379880673814,0.03290966976722277,0.029082379880673814,0.03290966976722277
2020-08,-0.027170321598357184,-0.031890147199609364,-0.016862839630771065,-0.012011057182300633,-0.06673620777927286,-0.001029520523853544,-0.06673620777927286,-0.05082379829238856,-0.06425815022410708,-0.047679871339976115,-0.08968758612359337,-0.07160144076225597,-0.08447803360169122,-0.06699371003020771,-0.07995774013094922,-0.06232856529589863,-0.08304500079548764,-0.0638531514008569,-0.08304500079548764,-0.0638531514008569
2020-09,-0.010365351788556042,-0.02218003991846751,-0.022266784752107548,-0.007693303163527578,-0.022112913414069204,-0.005619998536480476,-0.02030846276311913,-0.02301185706532977,-0.02030846276311913,-0.023014170958289237,-0.012145128672266891,-0.013605171073224443,-0.01880693838573504,-0.021807136027322923,-0.007657409406799842,-0.012416830750106498,-0.02139024082714418,-0.02545678721020234,-0.02139024082714418,-0.02545678721020234
2020-10,0.08653840030647522,0.1071167923414833,0.06429976125578514,0.05069398575111368,0.052185621668912094,0.012747229746133204,0.0824437888192596,0.09523488542182927,0.07248397665372766,0.08125669529341405,0.12090647900553816,0.1285452067031924,0.10380890789252542,0.10317483235812945,0.1372985376068382,0.11939592018759762,0.1212913384581583,0.09093020409868988,0.1212913384581583,0.09093020409868988
