month,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base
2020-01,-0.01257380029930586,-0.01795900905594934,-0.0025184546507359693,-0.00804766210207142,-0.00804766210207142,-0.01885776309389111,-0.01885776309389111,-0.01885776309389111
2020-02,-0.06036398983941216,-0.019997094508883345,-0.04295446986818994,-0.04370533311699323,-0.04370533311699323,-0.05249759807549497,-0.049880810715098624,-0.049880810715098624
2020-03,-0.0848551597523108,-0.09842726884454403,-0.04426301005675144,-0.10121397849965848,-0.10121397849965848,-0.022760746216015867,-0.05605730914024587,-0.05605730914024587
2020-04,0.014726145494770247,0.03063362025979783,0.0006731654787886406,-0.011171435147461684,-0.011171435147461684,0.015733702545848514,-0.015442620270287045,-0.015442620270287045
2020-05,0.012370587409209599,-0.002762799825044881,-0.009570242506591064,-0.0012679153309678834,-0.0012679153309678834,-0.00893565555186604,-0.008015794009654464,-0.008015794009654464
2020-06,-0.005678749501027759,-0.006226932251809903,-0.016016134069267187,-0.007946221672798837,-0.007946221672798837,-0.016205857926972423,-0.016589807051755657,-0.016589807051755657
2020-07,-0.003501063643172552,0.0070226186511399575,-0.03179917027556214,-0.0397660883710609,-0.0397660883710609,-0.027229651774139232,-0.04232808856977757,-0.04232808856977757
2020-08,0.006017203292934738,-0.0016226326099234578,-0.007392771938564559,-0.007392771938564559,-0.007392771938564559,-0.017101597591171115,-0.02594917696294992,-0.02594917696294992
2020-09,0.006792568898049733,0.010674036533274214,-0.007303379904576701,-0.0053674525632326775,-0.0053674525632326775,-0.00577775335209112,-0.009966039441655949,-0.009966039441655949
2020-10,0.025239604692180607,0.025239604692180607,0.042799012753004996,0.042799012753004996,0.042799012753004996,0.04999421527327001,0.056620305760596026,0.056620305760596026
2020-11,0.004952574526506304,-0.00039577979439164835,0.014781968450396098,0.01875038882575202,0.01875038882575202,0.00024165820959034623,0.025919540619814895,0.025919540619814895
