trial,params,mean_test_score,std_test_score,fold_scores,mean_best_iteration,max_best_iteration,fold_best_iterations,early_stopping_rounds,errors
144,"{""colsample_bylevel"": 0.9635004839621477, ""colsample_bytree"": 0.7469764216543078, ""gamma"": 2.021515358365355, ""learning_rate"": 0.026748600418769208, ""max_bin"": 533, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 13.15064490185406, ""n_estimators"": 1584, ""reg_alpha"": 0.18172090400104698, ""reg_lambda"": 2.892735253486334, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.5783990648856177}",0.2725363160943433,0.03221829925520245,"[0.2780431749774944, 0.261555862882577, 0.23336967419281313, 0.29185112832993637, 0.3290706626297873, 0.2413273935534519]",28.333333333333332,55.0,"[15, 51, 10, 55, 26, 13]",75,
145,"{""colsample_bylevel"": 0.5588245142367794, ""colsample_bytree"": 0.5750465150528543, ""gamma"": 0.0014220055296483385, ""learning_rate"": 0.014854754125860849, ""max_bin"": 897, ""max_delta_step"": 3, ""max_depth"": 2, ""min_child_weight"": 2.9745332658413255, ""n_estimators"": 2266, ""reg_alpha"": 5.984153947935447, ""reg_lambda"": 0.46938923255046106, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.8202674500122779}",0.2737287939609287,0.03457145836527787,"[0.2890932829333458, 0.2749779088199477, 0.2327271153909654, 0.27968517700778545, 0.3331791240672518, 0.23271015554627578]",58.0,144.0,"[51, 29, 21, 10, 144, 93]",75,
146,"{""colsample_bylevel"": 0.7578397138482489, ""colsample_bytree"": 0.9556655852679297, ""gamma"": 0.013532617683848261, ""learning_rate"": 0.19352047901659886, ""max_bin"": 228, ""max_delta_step"": 5, ""max_depth"": 3, ""min_child_weight"": 2.017085666984197, ""n_estimators"": 960, ""reg_alpha"": 6.524763658776351e-05, ""reg_lambda"": 34.78097565420657, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.8534367128840719}",0.263074365484669,0.011722565965303713,"[0.24138917043567687, 0.2704359323732205, 0.2543409058787418, 0.26947727226318974, 0.27609824005959727, 0.26670467189758784]",15.333333333333334,48.0,"[2, 4, 48, 3, 14, 21]",75,
147,"{""colsample_bylevel"": 0.7662405962797131, ""colsample_bytree"": 0.8467821370308024, ""gamma"": 7.765997138968823e-05, ""learning_rate"": 0.007307317418025827, ""max_bin"": 653, ""max_delta_step"": 0, ""max_depth"": 8, ""min_child_weight"": 0.9776127291531582, ""n_estimators"": 529, ""reg_alpha"": 0.0003675369791545746, ""reg_lambda"": 106.5854113090414, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.8384374348053995}",0.24963393846734205,0.023664053686188295,"[0.23222311753979277, 0.2523562517136496, 0.2119946588991791, 0.27297651488910263, 0.28239830464219984, 0.24585478312012835]",9.0,20.0,"[1, 7, 1, 20, 6, 19]",75,
148,"{""colsample_bylevel"": 0.9112402818171805, ""colsample_bytree"": 0.5228885700080167, ""gamma"": 2.7013391295800386, ""learning_rate"": 0.14459263102368541, ""max_bin"": 909, ""max_delta_step"": 0, ""max_depth"": 7, ""min_child_weight"": 37.76661265123936, ""n_estimators"": 637, ""reg_alpha"": 0.0001674443087089001, ""reg_lambda"": 2.7954594100808006, ""scale_pos_weight"": 1.0, ""subsample"": 0.9213403453370057}",0.2608739992083858,0.02867835646948919,"[0.2656299636290359, 0.23621018398193946, 0.2300485778899179, 0.2689419520459396, 0.3166907320035835, 0.24772258569989813]",28.0,88.0,"[11, 21, 20, 2, 26, 88]",75,
149,"{""colsample_bylevel"": 0.8331534429175198, ""colsample_bytree"": 0.5169690511189011, ""gamma"": 0.010312570348743716, ""learning_rate"": 0.025131316976075683, ""max_bin"": 206, ""max_delta_step"": 5, ""max_depth"": 6, ""min_child_weight"": 2.882229582498294, ""n_estimators"": 527, ""reg_alpha"": 0.010653324315754387, ""reg_lambda"": 0.6070053351726042, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9442473366691192}",0.27314433653682935,0.029211115953406724,"[0.23658891873323434, 0.2744288717373442, 0.2482583367776625, 0.2955601660748267, 0.3232223238994406, 0.2608074019984675]",90.5,269.0,"[1, 14, 18, 26, 215, 269]",75,
150,"{""colsample_bylevel"": 0.6388763118746306, ""colsample_bytree"": 0.918296750653196, ""gamma"": 1.0048358727703649e-05, ""learning_rate"": 0.003231336641452611, ""max_bin"": 257, ""max_delta_step"": 5, ""max_depth"": 8, ""min_child_weight"": 0.1534885113913218, ""n_estimators"": 1940, ""reg_alpha"": 2.919652084024912, ""reg_lambda"": 1.984960325735769, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.7680707141584892}",0.27691712643365296,0.0407107637522235,"[0.2590315953539314, 0.2771599350968704, 0.23971020960361383, 0.2678263080156507, 0.3641732387761094, 0.253601471755742]",13.333333333333334,32.0,"[12, 6, 6, 12, 32, 12]",75,
151,"{""colsample_bylevel"": 0.8771267721719316, ""colsample_bytree"": 0.7907237632741733, ""gamma"": 0.0007475548755555115, ""learning_rate"": 0.018281717527388094, ""max_bin"": 226, ""max_delta_step"": 10, ""max_depth"": 2, ""min_child_weight"": 16.09985737862753, ""n_estimators"": 1282, ""reg_alpha"": 0.00017553540069139824, ""reg_lambda"": 12.700179100383805, ""scale_pos_weight"": 1.0, ""subsample"": 0.7792399576674054}",0.2598853224995054,0.029301095648819296,"[0.27100181479148644, 0.25633775426933003, 0.2249876728070978, 0.26973194291399394, 0.3107425816501003, 0.226510168565024]",55.0,124.0,"[45, 124, 106, 6, 26, 23]",75,
152,"{""colsample_bylevel"": 0.9983484269264884, ""colsample_bytree"": 0.8976836482283104, ""gamma"": 0.07525166859422558, ""learning_rate"": 0.010856751830870846, ""max_bin"": 947, ""max_delta_step"": 5, ""max_depth"": 5, ""min_child_weight"": 26.06841630129141, ""n_estimators"": 1908, ""reg_alpha"": 16.0779067947003, ""reg_lambda"": 1.8320012548179527, ""scale_pos_weight"": 1.0, ""subsample"": 0.7094063082001486}",0.2548430194232431,0.03279601551261149,"[0.24823495989083916, 0.2240487662163221, 0.2284871490240503, 0.2748798881406507, 0.3179931101477888, 0.23541424311980763]",82.33333333333333,394.0,"[2, 394, 11, 4, 70, 13]",75,
153,"{""colsample_bylevel"": 0.76275231098432, ""colsample_bytree"": 0.7148991655941743, ""gamma"": 0.00013018807558750955, ""learning_rate"": 0.015244654606315806, ""max_bin"": 772, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 1.7428275605708732, ""n_estimators"": 2693, ""reg_alpha"": 3.406937378234637, ""reg_lambda"": 5.286521313788569, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.6116993675780497}",0.26927567017432114,0.034869577551670694,"[0.2635276245603895, 0.2610044564634356, 0.23213259507973671, 0.29581345664736813, 0.3306125568844123, 0.23256333141058466]",17.833333333333332,57.0,"[15, 27, 2, 4, 57, 2]",75,
154,"{""colsample_bylevel"": 0.7676550657262958, ""colsample_bytree"": 0.5683610296094807, ""gamma"": 1.1922665636125134e-05, ""learning_rate"": 0.008261343907305981, ""max_bin"": 340, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 0.0805396243095346, ""n_estimators"": 1071, ""reg_alpha"": 0.02600029691395666, ""reg_lambda"": 0.12037493709187824, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.7544698005519824}",0.2646209226126759,0.024897049015561386,"[0.2627354668841919, 0.24773982461463057, 0.2362056090774171, 0.2928189217672494, 0.3028173951697277, 0.24540831816283848]",27.0,62.0,"[19, 6, 62, 11, 52, 12]",75,
155,"{""colsample_bylevel"": 0.922178541369808, ""colsample_bytree"": 0.5039454194313345, ""gamma"": 0.011924002254983255, ""learning_rate"": 0.0056337338463144145, ""max_bin"": 691, ""max_delta_step"": 5, ""max_depth"": 3, ""min_child_weight"": 1.6756727406879393, ""n_estimators"": 2168, ""reg_alpha"": 0.19886995629473786, ""reg_lambda"": 48.7284437118645, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9032574447266757}",0.26129033207883184,0.029778598245096124,"[0.24888438412820413, 0.23389659831099446, 0.25941710818244357, 0.2810952551372546, 0.31570660141776985, 0.22874204529632478]",23.333333333333332,58.0,"[27, 34, 5, 3, 13, 58]",75,
156,"{""colsample_bylevel"": 0.9460423444701171, ""colsample_bytree"": 0.9754340775771606, ""gamma"": 0.9084516969201037, ""learning_rate"": 0.011282222201421803, ""max_bin"": 256, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.08786558212857222, ""n_estimators"": 1520, ""reg_alpha"": 7.6930943006979815, ""reg_lambda"": 0.06801161364587825, ""scale_pos_weight"": 1.0, ""subsample"": 0.9213094881679167}",0.25179535697534344,0.0339176887844308,"[0.2309661628217084, 0.2549064078051571, 0.21920152908650203, 0.26098422277253347, 0.3196145859797265, 0.22509923338643312]",19.166666666666668,48.0,"[41, 4, 7, 8, 7, 48]",75,
157,"{""colsample_bylevel"": 0.7477260517304909, ""colsample_bytree"": 0.6624919004165736, ""gamma"": 0.0068587907023207025, ""learning_rate"": 0.007781873104096224, ""max_bin"": 982, ""max_delta_step"": 10, ""max_depth"": 4, ""min_child_weight"": 0.10904973017798701, ""n_estimators"": 2896, ""reg_alpha"": 0.01267393898779519, ""reg_lambda"": 0.07333031769997325, ""scale_pos_weight"": 1.0, ""subsample"": 0.8857932658668275}",0.27157210518974817,0.04352478190870231,"[0.2704074074074074, 0.25027226517188983, 0.24996887086974243, 0.27084203980003196, 0.36267598840925475, 0.22526605948016265]",37.333333333333336,104.0,"[2, 1, 104, 97, 11, 9]",75,
158,"{""colsample_bylevel"": 0.8295177671018403, ""colsample_bytree"": 0.8911718069701732, ""gamma"": 4.6123684418769826e-05, ""learning_rate"": 0.0034833672954387184, ""max_bin"": 275, ""max_delta_step"": 10, ""max_depth"": 9, ""min_child_weight"": 0.6773761498193082, ""n_estimators"": 765, ""reg_alpha"": 87.32103246911068, ""reg_lambda"": 118.68212538980536, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.8476167749816865}",0.23802359966795708,0.037447492529919746,"[0.2, 0.2, 0.2120972978634269, 0.30238282407744593, 0.2573785146326353, 0.25628296143423435]",63.666666666666664,170.0,"[1, 1, 57, 170, 75, 78]",75,
159,"{""colsample_bylevel"": 0.592597783933734, ""colsample_bytree"": 0.5457601344337464, ""gamma"": 4.168635669303608e-05, ""learning_rate"": 0.04802342792164726, ""max_bin"": 479, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 0.09197862453032325, ""n_estimators"": 2815, ""reg_alpha"": 59.56899099766187, ""reg_lambda"": 0.5324358867444784, ""scale_pos_weight"": 1.0, ""subsample"": 0.9891958823194567}",0.20302197032998973,0.006757331083844546,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2181318219799385]",17.333333333333332,99.0,"[1, 1, 1, 1, 1, 99]",75,
160,"{""colsample_bylevel"": 0.8336751990232142, ""colsample_bytree"": 0.4557352346685717, ""gamma"": 0.00040678790191587974, ""learning_rate"": 0.008966821435116288, ""max_bin"": 744, ""max_delta_step"": 0, ""max_depth"": 2, ""min_child_weight"": 2.5010459242381864, ""n_estimators"": 589, ""reg_alpha"": 18.651002555917735, ""reg_lambda"": 0.6597089559979036, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.9909866482114829}",0.2525868385804646,0.022496430906998956,"[0.2578611007474881, 0.23646539782593506, 0.23941630906152478, 0.26945453486281823, 0.2898165200048867, 0.22250716898013467]",89.66666666666667,187.0,"[83, 187, 178, 6, 83, 1]",75,
