trial,params,mean_test_score,std_test_score,fold_scores,mean_best_iteration,max_best_iteration,fold_best_iterations,early_stopping_rounds,errors
114,"{""colsample_bylevel"": 0.600075122122405, ""colsample_bytree"": 0.5421154202424884, ""gamma"": 4.559162780346788e-05, ""learning_rate"": 0.04344221392246289, ""max_bin"": 762, ""max_delta_step"": 0, ""max_depth"": 7, ""min_child_weight"": 4.72764727141442, ""n_estimators"": 2670, ""reg_alpha"": 0.06152821941865401, ""reg_lambda"": 14.603582464256052, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.8313870970962766}",0.26792094801610467,0.03235214278644669,"[0.25515410332310356, 0.23951002249701445, 0.22553890267016968, 0.29837086190011974, 0.3187248987687863, 0.27022689893743435]",21.833333333333332,79.0,"[23, 79, 6, 14, 6, 3]",75,
115,"{""colsample_bylevel"": 0.8917113629708073, ""colsample_bytree"": 0.786741892234637, ""gamma"": 0.011277404239045863, ""learning_rate"": 0.0481278925171721, ""max_bin"": 335, ""max_delta_step"": 5, ""max_depth"": 7, ""min_child_weight"": 20.782133047436535, ""n_estimators"": 809, ""reg_alpha"": 0.02324485386092115, ""reg_lambda"": 0.06929102293971547, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.7473732474202923}",0.27051227958674356,0.02821852743360452,"[0.268604152588922, 0.2717025591860738, 0.2349854041153714, 0.2796152385659073, 0.3231938609152428, 0.24497246214894378]",56.5,120.0,"[3, 120, 104, 32, 5, 75]",75,
116,"{""colsample_bylevel"": 0.8624132799370292, ""colsample_bytree"": 0.7763032565705983, ""gamma"": 0.12517660575345854, ""learning_rate"": 0.022453408719736924, ""max_bin"": 370, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 66.95135499189782, ""n_estimators"": 1084, ""reg_alpha"": 0.00018828919982744326, ""reg_lambda"": 27.85142806987261, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.5696477459683126}",0.26799298109101366,0.04421951793471929,"[0.28754946729486, 0.22884719390036953, 0.2261729835200385, 0.2822368578062889, 0.34968445667539505, 0.23346692734913013]",23.5,64.0,"[10, 9, 45, 5, 8, 64]",75,
117,"{""colsample_bylevel"": 0.5808362720734013, ""colsample_bytree"": 0.46147362661034597, ""gamma"": 0.13068624490581268, ""learning_rate"": 0.012112472516875772, ""max_bin"": 439, ""max_delta_step"": 0, ""max_depth"": 4, ""min_child_weight"": 6.063055325442299, ""n_estimators"": 2137, ""reg_alpha"": 0.006650120700415556, ""reg_lambda"": 0.29233968843283065, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.5637936259926127}",0.2833529437003545,0.03870506042831738,"[0.2964694760503773, 0.27395154255455506, 0.2501143458432137, 0.2735200092066516, 0.361134957867489, 0.24492733067984077]",66.66666666666667,197.0,"[13, 78, 8, 197, 14, 90]",75,
118,"{""colsample_bylevel"": 0.6288414442556068, ""colsample_bytree"": 0.704442626206624, ""gamma"": 2.9580880771878326, ""learning_rate"": 0.063593287571202, ""max_bin"": 151, ""max_delta_step"": 5, ""max_depth"": 6, ""min_child_weight"": 0.6417815483121098, ""n_estimators"": 1787, ""reg_alpha"": 2.3662859030863275, ""reg_lambda"": 2.8469305546381567, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9401641732551019}",0.27016033196321687,0.024341508847173725,"[0.28758234376800673, 0.2753444060402378, 0.23389420955635462, 0.28891455681836964, 0.2954046504706225, 0.23982182512570993]",34.5,108.0,"[6, 5, 19, 18, 51, 108]",75,
119,"{""colsample_bylevel"": 0.7893377042861967, ""colsample_bytree"": 0.6912384805542748, ""gamma"": 0.37142426520861876, ""learning_rate"": 0.02316119648834214, ""max_bin"": 705, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 1.122572640266483, ""n_estimators"": 1154, ""reg_alpha"": 0.14010456954996975, ""reg_lambda"": 74.36489779726091, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.8303349626035673}",0.25464545949959355,0.040100958376921805,"[0.23308329175263354, 0.22672860642154744, 0.21091445407642867, 0.2765674647426532, 0.3319444654657561, 0.2486344745385421]",75.5,234.0,"[48, 234, 119, 20, 7, 25]",75,
120,"{""colsample_bylevel"": 0.8157801100462603, ""colsample_bytree"": 0.8532121623284046, ""gamma"": 6.745465578237092e-05, ""learning_rate"": 0.060634620644854205, ""max_bin"": 879, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.7827476514896691, ""n_estimators"": 401, ""reg_alpha"": 0.00018485817831496637, ""reg_lambda"": 46.7488112817947, ""scale_pos_weight"": 1.0, ""subsample"": 0.746724424967572}",0.25488974606150955,0.03724759622567433,"[0.23082559898120847, 0.23281058803984028, 0.22556064223197145, 0.3319610863116502, 0.2691942872185876, 0.23898627358579894]",49.833333333333336,158.0,"[57, 158, 1, 14, 5, 64]",75,
121,"{""colsample_bylevel"": 0.5486966962767761, ""colsample_bytree"": 0.6727614394941769, ""gamma"": 0.05444984180477812, ""learning_rate"": 0.03419173621190891, ""max_bin"": 211, ""max_delta_step"": 1, ""max_depth"": 8, ""min_child_weight"": 0.1670783247759736, ""n_estimators"": 2440, ""reg_alpha"": 0.006213289979253441, ""reg_lambda"": 48.11630222768144, ""scale_pos_weight"": 1.0, ""subsample"": 0.6963355289011127}",0.2602323964547636,0.0314873079356196,"[0.24585643906821666, 0.25286508604585745, 0.22388295181197, 0.2668644040959152, 0.3246821899162676, 0.24724330779035492]",5.333333333333333,8.0,"[7, 3, 8, 3, 5, 6]",75,
122,"{""colsample_bylevel"": 0.8867365628433004, ""colsample_bytree"": 0.5219805133950924, ""gamma"": 12.908372678734514, ""learning_rate"": 0.020173997645152434, ""max_bin"": 522, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 1.3039746038978253, ""n_estimators"": 2393, ""reg_alpha"": 0.013849784528890139, ""reg_lambda"": 10.629714422856367, ""scale_pos_weight"": 1.0, ""subsample"": 0.7438993856478127}",0.2334411567961716,0.028518897485656912,"[0.22590350256553812, 0.19000521040744114, 0.21976230249848078, 0.2574142167011732, 0.27973506559265754, 0.22782664301173872]",41.5,115.0,"[92, 10, 115, 11, 16, 5]",75,
123,"{""colsample_bylevel"": 0.624357136293815, ""colsample_bytree"": 0.7894297426322165, ""gamma"": 0.2840693933765551, ""learning_rate"": 0.0060504886507399495, ""max_bin"": 411, ""max_delta_step"": 0, ""max_depth"": 4, ""min_child_weight"": 11.441696302310149, ""n_estimators"": 2420, ""reg_alpha"": 0.054272956104671935, ""reg_lambda"": 26.142660137138453, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.9407220762309665}",0.25501207276797616,0.02276029352882311,"[0.22797255435697678, 0.2567445198644821, 0.2389599455614923, 0.27610626333885996, 0.29221926882775, 0.23806988465829554]",29.833333333333332,78.0,"[5, 4, 5, 70, 78, 17]",75,
