month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[6M momentum top-k],Rule[6M momentum top-k] | inverse-vol capped top-k,Rule[Risk-adjusted momentum top-k],Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] | inverse-vol capped top-k,TabPFN[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibration Base,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999
2020-02,0.0,0.0,0.0,0.20806488031956843,0.8,0.4,0.8,0.9252224823893967,1.6,1.806876626241854,0.8,0.9922867431030038,0.8,0.7744107599144157,1.6,1.6951612061002144,1.2000000000000002,1.4029576953994494,1.2000000000000002,1.4029576953994494
2020-03,0.0,0.0,0.0,0.49879692397332615,0.4,0.4,1.2000000000000002,1.6463220534433836,0.0,0.2799389256064356,1.6,1.7690803291509432,1.2000000000000002,1.3394970099292722,2.0,2.0,2.0,2.0,2.0,2.0
2020-04,0.0,0.0,0.0,0.042080750416164145,0.4,0.4,0.4,0.7,0.8,0.9368820581197417,1.6,1.7690803291509432,0.4,0.7,0.8,1.2767075928858884,1.2000000000000002,1.51358965100563,1.2000000000000002,1.51358965100563
2020-05,0.0,0.0,0.0,0.029901702771938963,0.4,0.0,0.0,0.009683003955745673,0.8,0.9431599551370886,0.0,0.017269189779797467,0.8,0.8866539288461783,0.8,0.8826954140595619,0.8,0.8798896754530846,0.8,0.8798896754530846
2020-06,0.0,0.0,0.0,0.29978902438167543,0.0,0.4,0.0,0.08812509960703371,0.4,0.4613081825111447,0.8,0.7601942265081466,0.4,0.32486309197498264,0.8,0.650299080685833,1.2000000000000002,1.0408269327440764,1.2000000000000002,1.0408269327440764
2020-07,0.0,0.0,0.0,0.15947772936095447,0.0,0.4,0.4,0.7,0.0,0.14737618884704906,0.4,0.6031383163194548,0.4,0.4453995950792623,1.2000000000000002,1.381373706714216,1.2000000000000002,1.431415015292841,1.2000000000000002,1.431415015292841
2020-08,0.0,0.0,0.0,0.07707806631296618,0.4,0.4,0.4,0.6745576785180559,0.4,0.7072944051643822,0.8,1.1251885513228888,0.0,0.1772989614341656,0.4,0.559354725862879,0.8,0.8787041465752102,0.8,0.8787041465752102
2020-09,0.0,0.0,0.0,0.10901459919571352,0.0,0.0,0.4,0.5762700239520182,0.4,0.5808978098709493,0.8,1.132007567466911,0.8,0.9863152671412785,1.2000000000000002,1.611860946270306,0.0,0.18356512541217213,0.0,0.18356512541217213
2020-10,0.0,0.0,0.0,0.05936834913033748,0.0,0.0,0.4,0.5660227777278215,1.2,1.4435370930649345,0.4,0.5145524529798157,0.8,0.9743969287516964,1.2000000000000002,1.1379007295793329,0.8,1.0196319666747486,0.8,1.0196319666747486
2020-11,0.0,0.0,0.0,0.07017265518838146,0.4,0.0,1.2,1.2431974895612425,1.2000000000000002,1.1838084930292574,0.4,0.7832995684275038,0.8,1.118598597248075,1.6,1.6970928832718117,1.6,1.3584665521416999,1.6,1.3584665521416999
2020-12,0.0,0.0,0.0,0.08644659622859688,0.4,0.0,0.8,0.7178565266052178,0.4,0.5062480353915789,0.4,0.7119605290246207,0.4,0.6819406039476159,1.2000000000000002,1.2839081027425956,1.6,1.6825434964928876,1.6,1.6825434964928876
2021-01,0.0,0.0,0.0,0.05935537932077607,0.4,0.4,1.2000000000000002,1.2883800269221912,0.8,0.838911789151136,0.8,1.0583296401249902,0.4,0.5070026191462396,0.8,0.9214137883410143,1.2000000000000002,1.3281392261410636,1.2000000000000002,1.3281392261410636
2021-02,0.0,0.0,0.0,0.10869109018902871,0.4,0.0,0.8,0.8883288324332886,0.0,0.12482386725009416,0.4,0.5658443033294177,0.8,1.107097772830349,1.2000000000000002,1.1920965035421696,0.8,0.8693372136431969,0.8,0.8693372136431969
2021-03,0.0,0.0,0.0,0.09297085865966848,0.8,0.0,0.4,0.5898366751014283,0.4,0.5898366751014283,0.0,0.15973758264249482,0.0,0.09621773083468725,0.8,0.966874134192629,0.8,1.1573710339918257,0.8,1.1573710339918257
2021-04,0.0,0.0,0.0,0.07046151286600173,0.8,0.0,0.0,0.0585621974785695,0.8,1.0522590942883399,0.4,0.6069697896276729,0.8,0.9835388278742078,0.8,0.9616733385140184,0.4,0.6927768238050048,0.4,0.6927768238050048
2021-05,0.0,0.0,0.0,0.08056664249321153,0.4,0.4,0.4,0.5625651669658196,0.8,1.05225909428834,0.0,0.0745411811575313,0.4,0.6446646445136786,0.8,0.9437018164950621,0.4,0.5770327699921568,0.4,0.5770327699921568
2021-06,0.0,0.0,0.0,0.11521956612701165,0.4,0.0,0.8,0.9892443283888432,1.2000000000000002,1.4159678650939544,0.8,1.0056104981540195,0.8,1.0157728724512833,1.2000000000000002,1.2748190884614115,1.2000000000000002,1.2862799127350752,1.2000000000000002,1.2862799127350752
2021-07,0.0,0.0,0.0,0.06399853182425087,0.4,0.4,0.0,0.04315355197271192,0.4,0.5613308599025687,0.4,0.4642553479796332,0.4,0.5585462614028752,0.8,0.7252054400939028,0.8,0.9059415352006361,0.8,0.9059415352006361
2021-08,0.0,0.0,0.0,0.07238309936214325,0.8,0.4,1.2000000000000002,1.2505250156017254,0.4,0.4431927469819867,0.4,0.5511691586810015,0.4,0.3891896200519137,1.5999999999999999,1.6776735241920426,0.8,0.9875070530782231,0.8,0.9875070530782231
2021-09,0.0,0.0,0.0,0.04327720089149584,0.4,0.4,0.4,0.44768570418127657,1.2000000000000002,1.197160688579551,0.4,0.6015171933338479,0.8,0.7089841665183998,1.2000000000000002,1.4226189531025413,0.8,0.843351717364535,0.8,0.843351717364535
2021-10,0.0,0.0,0.0,0.04761155410897213,0.0,0.0,0.8,0.8500763033103549,0.4,0.5007553958213233,0.0,0.06579348065929494,0.8,0.7455181713052342,1.2000000000000002,1.2645437335301546,1.2000000000000002,1.290578721450743,1.2000000000000002,1.290578721450743
2021-11,0.0,0.0,0.0,0.07515991869878538,0.8,0.0,0.8,0.8673105950727105,0.4,0.451088609946391,0.8,0.9840899895807949,0.4,0.5287274277711298,0.8,0.8969018583649351,0.8,0.7535099917363156,0.8,0.7535099917363156
2021-12,0.0,0.0,0.0,0.06792771145238027,0.8,0.4,1.2000000000000002,1.335421028522374,1.6,1.7057787124345367,0.8,0.9678341576161744,0.4,0.4025712296529983,1.2000000000000002,1.2874641990023026,1.2,1.2660562750375153,1.2,1.2660562750375153
2022-01,0.0,0.0,0.0,0.047457425467101536,0.0,0.0,1.6,1.6882197027424701,1.2000000000000002,1.0718717219990435,0.4,0.47676125606209496,0.4,0.40442921274879806,1.2000000000000002,1.1758991999123838,0.8,0.8473543415611278,0.8,0.8473543415611278
2022-02,0.0,0.0,0.0,0.0879028086589609,0.4,0.0,0.8,0.929458316139744,0.8,0.9675588382722526,0.4,0.5210314920550587,1.2,1.2450475362395332,0.4,0.4012518272074219,1.2000000000000002,1.2864065744907052,1.2000000000000002,1.2864065744907052
2022-03,0.0,0.0,0.0,0.1278589987450085,0.8,0.4,0.8,1.1356498310017882,0.4,0.6264662429780067,0.8,0.838319484788459,1.2000000000000002,1.314137147684327,1.6,1.4510408775100205,1.6,1.5402005913096386,1.6,1.5402005913096386
2022-04,0.0,0.0,0.0,0.04144633468668742,0.4,0.4,0.8,1.0127107027380482,0.4,0.48972221692264956,0.4,0.3992507128765858,0.8,0.9298277865356757,0.8,0.8512276925038003,0.4,0.4365873850144203,0.4,0.4365873850144203
