Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Equal weight universe,mean_monthly_return,0.009683076675214388,0.009566789390696759,0.0008443826141030022,0.017396801832219876,400,400,0.95
Equal weight universe,cagr,0.11223414322898817,0.11108711240724867,-0.0009649133624747508,0.2197339122110238,400,400,0.95
Equal weight universe,annualized_volatility,0.13666088166651183,0.1326672847632216,0.1043807395668408,0.16829183055317726,400,400,0.95
Equal weight universe,sharpe,0.8502573573769515,0.8812363888482238,0.06897724039397563,1.649486314338147,400,400,0.95
SPY only,mean_monthly_return,0.013278321508387212,0.013293551938531718,0.0013102266697249186,0.025583139103815284,400,400,0.95
SPY only,cagr,0.1533657518247975,0.15455055761390635,-0.0010640160662060754,0.3351414015241526,400,400,0.95
SPY only,annualized_volatility,0.17820439388279555,0.17580274154746267,0.1398507125856388,0.21163155358150385,400,400,0.95
SPY only,sharpe,0.8941410176757136,0.9152660209875865,0.08892193328062147,1.9239993853788298,400,400,0.95
60/40 SPY/TLT,mean_monthly_return,0.0064595133386101625,0.00615122597600491,-0.0021779184207779173,0.014759772083528962,400,400,0.95
60/40 SPY/TLT,cagr,0.07161106895056091,0.06800107031253655,-0.03551457561954387,0.1844486010795304,400,400,0.95
60/40 SPY/TLT,annualized_volatility,0.12847146243775187,0.12792405121691053,0.10695198304146278,0.14579293335512547,400,400,0.95
60/40 SPY/TLT,sharpe,0.6033570303668007,0.5868072674255442,-0.19783768282149441,1.528860943823165,400,400,0.95
Inverse volatility universe,mean_monthly_return,0.0055744247475709805,0.0055635224517767735,0.00036306028381829527,0.01170525885664401,400,400,0.95
Inverse volatility universe,cagr,0.06452786613623407,0.06519739158591042,-0.000102609268955135,0.14655309912651254,400,400,0.95
Inverse volatility universe,annualized_volatility,0.0917138533581421,0.09039586310038727,0.07354421466575393,0.10888070453106936,400,400,0.95
Inverse volatility universe,sharpe,0.7293674240208247,0.7349150908634885,0.04394461125099985,1.7021447808005252,400,400,0.95
12M momentum top-k portfolio,mean_monthly_return,0.01376458662401304,0.014115312764205336,0.0028539100989984872,0.024161453622321593,400,400,0.95
12M momentum top-k portfolio,cagr,0.1657567287373043,0.17070424123226358,0.022265211406075614,0.3175754720164804,400,400,0.95
12M momentum top-k portfolio,annualized_volatility,0.14850812751949477,0.14687286349590387,0.1235143549456132,0.17133270181238178,400,400,0.95
12M momentum top-k portfolio,sharpe,1.1122289550548257,1.115664805324908,0.21962539151860658,2.0460687691907458,400,400,0.95
Low volatility top-k portfolio,mean_monthly_return,0.002419861578148408,0.0022883832236709934,-0.0012377320352443206,0.006278894548894356,400,400,0.95
Low volatility top-k portfolio,cagr,0.027437133046347872,0.025867247448275732,-0.016520645327383454,0.07649786508668117,400,400,0.95
Low volatility top-k portfolio,annualized_volatility,0.06277535968938398,0.0611732172280857,0.051812546271980155,0.07034374268411063,400,400,0.95
Low volatility top-k portfolio,sharpe,0.4625754289814384,0.44048027040842064,-0.24729045199612357,1.2676803122574856,400,400,0.95
Rule[6M momentum top-k],mean_monthly_return,0.008899816298470045,0.008885093630048737,0.00010688923355643916,0.019398273572616264,400,400,0.95
Rule[6M momentum top-k],cagr,0.09995774613949449,0.09981447712239211,-0.010350132694990737,0.24465783009936293,400,400,0.95
Rule[6M momentum top-k],annualized_volatility,0.14995622098266473,0.14936989141482476,0.1270794213855108,0.16807525475427706,400,400,0.95
Rule[6M momentum top-k],sharpe,0.7121931646569474,0.7162063364145252,0.008676513872334915,1.594869696984473,400,400,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,mean_monthly_return,0.006895115020467768,0.007131929247892927,-0.002393244297053585,0.01582213509192651,400,400,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,cagr,0.07635355886164974,0.07943401104104231,-0.03786005553505496,0.20104783382034802,400,400,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,annualized_volatility,0.13439946279478313,0.1335396588527877,0.11249503465086606,0.15148651359598742,400,400,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,sharpe,0.6156377304271853,0.6347454467158845,-0.22084769059445378,1.6509766899115645,400,400,0.95
Rule[Risk-adjusted momentum top-k],mean_monthly_return,0.01247326619123017,0.012590824914420286,0.003287208494434395,0.022448127582453212,400,400,0.95
