month,Equal weight universe | turnover_cap_1,SPY only | turnover_cap_1,60/40 SPY/TLT | turnover_cap_1,Inverse volatility universe | turnover_cap_1,12M momentum top-k portfolio | turnover_cap_1,Low volatility top-k portfolio | turnover_cap_1,Rule[6M momentum top-k] | turnover_cap_1,Rule[6M momentum top-k] | inverse-vol capped top-k | turnover_cap_1,Rule[Risk-adjusted momentum top-k] | turnover_cap_1,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k | turnover_cap_1,TabPFN[Direct allocation scorer] | turnover_cap_1,TabPFN[Direct allocation scorer] | inverse-vol capped top-k | turnover_cap_1,TabPFN[Direct allocation scorer] Calibration Base | turnover_cap_1,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k | turnover_cap_1,XGBoost[GPU allocation scorer] | turnover_cap_1,XGBoost[GPU allocation scorer] | inverse-vol capped top-k | turnover_cap_1,XGBoost[GPU allocation scorer] Calibrated | turnover_cap_1,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k | turnover_cap_1,XGBoost[GPU allocation scorer] Calibration Base | turnover_cap_1,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k | turnover_cap_1,Equal weight universe | turnover_cap_0.5,SPY only | turnover_cap_0.5,60/40 SPY/TLT | turnover_cap_0.5,Inverse volatility universe | turnover_cap_0.5,12M momentum top-k portfolio | turnover_cap_0.5,Low volatility top-k portfolio | turnover_cap_0.5,Rule[6M momentum top-k] | turnover_cap_0.5,Rule[6M momentum top-k] | inverse-vol capped top-k | turnover_cap_0.5,Rule[Risk-adjusted momentum top-k] | turnover_cap_0.5,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k | turnover_cap_0.5,TabPFN[Direct allocation scorer] | turnover_cap_0.5,TabPFN[Direct allocation scorer] | inverse-vol capped top-k | turnover_cap_0.5,TabPFN[Direct allocation scorer] Calibration Base | turnover_cap_0.5,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k | turnover_cap_0.5,XGBoost[GPU allocation scorer] | turnover_cap_0.5,XGBoost[GPU allocation scorer] | inverse-vol capped top-k | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibrated | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibration Base | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k | turnover_cap_0.5
2020-01,-0.05454847668395909,-0.07824855148117732,-0.017954949330432166,-0.03890120830390949,-0.04340958201906335,-0.00843924599595799,-0.07124427992133879,-0.07267990092746379,-0.05503703258087349,-0.05498203724599461,-0.06853598691531997,-0.06534163308350202,-0.030422599747479507,-0.0188034151741154,-0.09263342433011168,-0.09271188314512105,-0.08947657096890316,-0.08840909412827556,-0.08947657096890316,-0.08840909412827556,-0.05454847668395909,-0.07824855148117732,-0.017954949330432166,-0.03890120830390949,-0.04340958201906335,-0.00843924599595799,-0.07124427992133879,-0.07267990092746379,-0.05503703258087349,-0.05498203724599461,-0.06853598691531997,-0.06534163308350202,-0.030422599747479507,-0.0188034151741154,-0.09263342433011168,-0.09271188314512105,-0.08947657096890316,-0.08840909412827556,-0.08947657096890316,-0.08840909412827556
2020-02,-0.14485397448749124,-0.16354883246328245,-0.06355532617462784,-0.09406408179588294,-0.04848885651794464,-0.02942742055309016,-0.08378603118809134,-0.0685035754334394,-0.03539972954835636,-0.049531692343527806,-0.21124395830698203,-0.20420655303460325,-0.17445156897122138,-0.14934498821874426,-0.23215567096242795,-0.22597743395474112,-0.24288045846320158,-0.24040244853592976,-0.24288045846320158,-0.24040244853592976,-0.14485397448749124,-0.16354883246328245,-0.06355532617462784,-0.09406408179588294,-0.059026651060376675,-0.02942742055309016,-0.09896657828221739,-0.0946866399987371,-0.07390444989491343,-0.08045201863220643,-0.2053828534153306,-0.19337665786469407,-0.15831434487196586,-0.13255789585507394,-0.232493472063453,-0.22723934959675163,-0.2467257084097943,-0.24398254436965316,-0.2467257084097943,-0.24398254436965316
2020-03,0.10528200713632334,0.15053654765954327,0.08851115331442583,0.045917915137986653,0.05277367253085481,0.019483627073350607,0.05443756132833927,0.051532291855077385,0.022397559544136057,0.014830372094638989,0.07672106474381112,0.07527398980650879,0.0564455789521148,0.05890510929277591,0.09793256623825917,0.09027724506381565,0.08886339129287281,0.08010885455213519,0.08886339129287281,0.08010885455213519,0.10528200713632334,0.15053654765954327,0.08851115331442583,0.045917915137986653,0.0628275693293804,0.019483627073350607,0.09071318856298694,0.08662909161501109,0.058418413771801916,0.05828519462889996,0.11387082496939366,0.11221954301222109,0.08978649014833713,0.08546660292565217,0.13015121865003967,0.12303985493650499,0.11372558557742349,0.10507991399022498,0.11372558557742349,0.10507991399022498
2020-04,0.05812329595641532,0.06417575873589687,0.026107533281203257,0.02708357193137887,0.03463873402695539,0.018098019703110715,0.03460540069362205,0.02011863374408345,0.023943488097882003,0.01527640387136272,0.08464232630244813,0.08960777288870828,0.06522371123551847,0.05197950610637161,0.0566688652949611,0.046213302598851605,0.06594388092420332,0.05739851191320503,0.06594388092420332,0.05739851191320503,0.05812329595641532,0.06417575873589687,0.026107533281203257,0.02708357193137887,0.03461730545552681,0.018098019703110715,0.036718141024341455,0.02956374024738366,0.025481986934825594,0.022865350859763572,0.08386575930542225,0.08515534983650017,0.06518971296663476,0.05303412179369445,0.06295829839301732,0.057903209416646985,0.07158301131106364,0.06668868953495147,0.07158301131106364,0.06668868953495147
2020-05,0.019992743992486177,0.0240835869598095,0.01667340110879505,0.009764824587906127,0.03624296028853332,0.009376384146327243,0.03469606784732387,0.022645454850808475,0.03604296028853332,0.02966439265520637,0.03424681786239302,0.03229637040687057,0.02614140833172076,0.026193595760396322,0.02937716364652184,0.02924172836095418,0.01810592018664656,0.018106376793641632,0.01810592018664656,0.018106376793641632,0.019992743992486177,0.0240835869598095,0.01667340110879505,0.009764824587906127,0.03624296028853332,0.009376384146327243,0.03457291969917572,0.02235418635506183,0.027491027086814748,0.021038855830587636,0.032234363740105736,0.03038911375378968,0.026065712728650575,0.024479490466597316,0.023909912087789954,0.02420077852005113,0.018758669224624595,0.0190836801127289,0.018758669224624595,0.0190836801127289
2020-06,0.05777399472309771,0.0605683335136149,0.052600912267173686,0.03654929775232173,0.1258291859031951,0.03749429585922324,0.06201433662894509,0.05181169575597218,0.132433960383162,0.13414007577086157,0.084488416782048,0.11877773994141044,0.09084692301489747,0.12322076859813187,0.0699055312630073,0.07607327082327506,0.07603692970468304,0.07591796964550696,0.07603692970468304,0.07591796964550696,0.05777399472309771,0.0605683335136149,0.052600912267173686,0.03654929775232173,0.1258291859031951,0.03749429585922324,0.06201433662894509,0.051804805237426865,0.11839853499769834,0.1100818968843564,0.09114874784549441,0.1175373053370498,0.09425859909264711,0.1211960209963333,0.08300448909174665,0.08362006776470862,0.08612524232542139,0.08691125683332449,0.08612524232542139,0.08691125683332449
2020-07,0.03652971165383368,0.06667251124797846,0.022756203179844545,0.016659469153900118,0.07497731572682158,-0.0032737759801939824,0.07477731572682157,0.0471418718024511,0.10221265583802913,0.08388921967537538,0.03985023605162596,0.04068606868481095,0.05158467246087766,0.047710721192675186,0.06053116057634889,0.06696728577167546,0.03028375556701215,0.03115699100677049,0.03028375556701215,0.03115699100677049,0.03652971165383368,0.06667251124797846,0.022756203179844545,0.016659469153900118,0.07497731572682158,-0.0032737759801939824,0.07477731572682157,0.03777990672048636,0.10206963065329078,0.08372035945878319,0.04175312151782542,0.0499737644234294,0.05100234608873112,0.04795955908687452,0.05472970249808327,0.05593435988731056,0.03787776691318879,0.036277499108348404,0.03787776691318879,0.036277499108348404
2020-08,-0.027170321598357184,-0.031890147199609364,-0.016862839630771065,-0.012011057182300633,-0.06673620777927286,-0.001029520523853544,-0.06673620777927286,-0.05082379829238856,-0.06425815022410708,-0.047679871339976115,-0.08968758612359337,-0.07152848174883425,-0.08447803360169122,-0.06699371003020771,-0.08005774013094921,-0.062491008543212656,-0.08199378611337194,-0.057320230901416046,-0.08199378611337194,-0.057320230901416046,-0.027170321598357184,-0.031890147199609364,-0.016862839630771065,-0.012011057182300633,-0.06673620777927286,-0.001029520523853544,-0.06673620777927286,-0.046635507598859115,-0.06425815022410708,-0.05007599127356128,-0.08392633245307814,-0.07100040954255103,-0.08450283728482598,-0.06701379380565094,-0.06396169531039271,-0.05243802117199678,-0.055180291884252115,-0.045780291780918365,-0.055180291884252115,-0.045780291780918365
2020-09,-0.010365351788556042,-0.02218003991846751,-0.022266784752107548,-0.007693303163527578,-0.022112913414069204,-0.005619998536480476,-0.02030846276311913,-0.02301185706532977,-0.02030846276311913,-0.023014170958289237,-0.012145128672266891,-0.013764218678788982,-0.01880693838573504,-0.021807136027322916,-0.00852301062046569,-0.014425091066515027,-0.021402521528898568,-0.025528073358159604,-0.021402521528898568,-0.025528073358159604,-0.010365351788556042,-0.02218003991846751,-0.022266784752107548,-0.007693303163527578,-0.022112913414069204,-0.005619998536480476,-0.02030846276311913,-0.023483173987432732,-0.02030846276311913,-0.02380928199421212,-0.011975457867069078,-0.01315082372040755,-0.010439854246512984,-0.009501971806548238,-0.011128624466538013,-0.015158407779788753,-0.0178139740710911,-0.019845288649224586,-0.0178139740710911,-0.019845288649224586
2020-10,0.08653840030647522,0.1071167923414833,0.06429976125578514,0.0506939857511137,0.052185621668912094,0.012747229746133204,0.0824437888192596,0.09523488542182927,0.07474006244706656,0.0868613899029643,0.12090647900553816,0.12852826230728995,0.10380890789252542,0.10317483235812945,0.13283952300335544,0.11911855602934873,0.1212913384581583,0.09150534710439555,0.1212913384581583,0.09150534710439555,0.08653840030647522,0.1071167923414833,0.06429976125578514,0.0506939857511137,0.052185621668912094,0.012747229746133204,0.0824437888192596,0.09130458473642987,0.08038027693041386,0.09093228548389175,0.12143725420948213,0.12588952665623304,0.10280694461789937,0.0985015008910295,0.12561012066148008,0.11339523787493186,0.11616982930725482,0.09816547937282631,0.11616982930725482,0.09816547937282631
2020-11,0.034227745157004455,0.031019599540691667,0.014281090783795757,0.018550119133505565,0.060060627009306776,0.001300683551519266,0.042461351885713615,0.039879808902453504,0.03971307781465498,0.036616856329215686,0.07228467797778412,0.0713045282893137,0.05347024691386444,0.03893067596174229,0.04839490862256955,0.03755204902660038,0.04277231873539815,0.03463400629351891,0.04277231873539815,0.03463400629351891,0.034227745157004455,0.031019599540691667,0.014281090783795757,0.018550119133505565,0.060060627009306776,0.001300683551519266,0.053359793933007126,0.04438990164080014,0.04834127554896175,0.03947001505582537,0.07226766030848276,0.06379171857320783,0.05665953904043431,0.0464513769615579,0.04882366163385874,0.039971255457019954,0.04052612271013713,0.030894028064510443,0.04052612271013713,0.030894028064510443
