month,FeatureSensitivity[full][TabPFN direct],FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[full][XGBoost light],FeatureSensitivity[full][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[identity_ablated][TabPFN direct],FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[identity_ablated][XGBoost light],FeatureSensitivity[identity_ablated][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[metadata_only][TabPFN direct],FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[metadata_only][XGBoost light],FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[strict_time_series][TabPFN direct],FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[strict_time_series][XGBoost light],FeatureSensitivity[strict_time_series][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[ticker_ablated][TabPFN direct],FeatureSensitivity[ticker_ablated][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[ticker_ablated][XGBoost light],FeatureSensitivity[ticker_ablated][XGBoost light] | inverse-vol capped top-k
2020-01,-0.05286555884071161,-0.04927779502803342,-0.0908633914782158,-0.09046305950430636,-0.06853598691531997,-0.06534163308350202,-0.08346960158993012,-0.08189210915870375,-0.020896948014153614,-0.017506903115360704,-0.019643173447554653,-0.017828547740167254,-0.06853598691531997,-0.06534163308350202,-0.08346960158993012,-0.08189210915870375,-0.07683061826668769,-0.07331489534836741,-0.0953866911973923,-0.09488748760871843
2020-02,-0.19475956397695415,-0.1888335868668363,-0.24135185796613293,-0.23399981996443783,-0.21124395830698203,-0.20420655303460325,-0.23883877945448773,-0.2347069981292329,-0.09220641483023065,-0.07076888928450499,-0.08831402167300595,-0.06883975898530537,-0.21124395830698203,-0.20420655303460325,-0.23883877945448773,-0.2347069981292329,-0.251825537608878,-0.2480605465761148,-0.23209122940240612,-0.23047861785967066
2020-03,0.0355776893068072,0.029292490279672012,0.07176668068926022,0.020229392651369936,0.03609044110287953,0.030189805922798588,0.020690282838311893,0.01080085363329155,0.07937178317694296,0.06743220763552628,0.08111024353888244,0.07042465066279945,0.03609044110287953,0.030189805922798588,0.020690282838311893,0.01080085363329155,0.0355776893068072,0.029292490279672012,0.07156668068926023,0.020095038443483045
2020-04,0.08085798925351051,0.09579834554878525,0.06373522783297267,0.05470534285259807,0.09104838403089517,0.10230363800050007,0.06393522783297267,0.05476829558521946,0.06961713557964096,0.05927098466271138,0.0682199580185695,0.05888095515747894,0.09104838403089517,0.10230363800050007,0.06393522783297267,0.05476829558521946,0.07539664202674994,0.06799272650990153,0.06668793858258963,0.05968157321892538
2020-05,0.018246381074341532,0.0184796771246644,0.019857252073089682,0.016651036404410423,0.034396817862393014,0.032469870158610255,0.029259810182454583,0.024454218668614476,0.02875227933046891,0.024460888671153317,0.027131900756002074,0.024287947896008952,0.034396817862393014,0.032469870158610255,0.029259810182454583,0.024454218668614476,0.02325237479181939,0.021726460667220223,0.019857252073089682,0.016681033081303878
2020-06,0.07681850438557965,0.11123812635540374,0.06071273760457894,0.059861580897233126,0.084488416782048,0.11877773994141044,0.10113663490833102,0.12187664652467577,0.1160358189220136,0.11289712097368855,0.11838186048979149,0.11388820981107155,0.084488416782048,0.11877773994141044,0.10113663490833102,0.12187664652467577,0.08348188067420005,0.11637213814832312,0.11141751991573647,0.11910446059592851
2020-07,0.055965806282093127,0.06201883535734407,0.07196409279447395,0.07874029252456798,0.03985023605162596,0.040686068684810936,0.021697085429220952,0.023644656440705326,0.05299560356415493,0.02997296423091119,0.052353727201135514,0.030791271391322247,0.03985023605162596,0.040686068684810936,0.021697085429220952,0.023644656440705326,0.058764336846357915,0.0616792758189647,0.044657320970502415,0.05363272869950208
2020-08,-0.0819499065171639,-0.061722741334418234,-0.07833314759040508,-0.04913879540450447,-0.08968758612359337,-0.07160144076225597,-0.08304500079548764,-0.0638293207371983,-0.056655621307324947,-0.03446432128917279,-0.05754208182099462,-0.03555949515204215,-0.08968758612359337,-0.07160144076225597,-0.08304500079548764,-0.0638293207371983,-0.08380426256132653,-0.06537906111286954,-0.08852485892999,-0.06857449985432235
2020-09,-0.02159024082714418,-0.0256855338211215,-0.02549439867834722,-0.024422558767031883,-0.012145128672266891,-0.013605171073224443,-0.02139024082714418,-0.025456787210202347,-0.019442748248051835,-0.0222698783718355,-0.015324539493255962,-0.01915936888669961,-0.012145128672266891,-0.013605171073224443,-0.02139024082714418,-0.025456787210202347,-0.021790240827144182,-0.02589936820992457,-0.02549439867834722,-0.024394872379388276
2020-10,0.12090647900553816,0.12852781931144353,0.12994201135373112,0.13932397968770105,0.12090647900553816,0.1285452067031924,0.1353747706468023,0.14687051899427522,0.03072768039020293,0.02698999560167397,0.029988321294402143,0.0265559017087824,0.12090647900553816,0.1285452067031924,0.1353747706468023,0.14687051899427522,0.12994201135373112,0.13927524774508615,0.14433741934505553,0.1586708328708888
