Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Source,Diagnostic Scope,Max Asset Weight Cap
75,0.13970943909262146,0.1524501704403665,0.9376022711931189,1.4427367479143796,-0.211969717861636,0.011911468837388809,0.16,5.0,0.0005,2.264453500219642,FeatureSensitivity[metadata_only][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.16539802635475054,0.18311875033930755,0.9338734871760689,1.1285100977214297,-0.20420655303460322,0.014250812162224425,8.597889999909055,5.0,0.026868406249715798,2.602940490061169,FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.16539802635475054,0.18311875033930755,0.9338734871760689,1.1285100977214297,-0.20420655303460322,0.014250812162224425,8.597889999909055,5.0,0.026868406249715798,2.602940490061169,FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.16033571898336918,0.17804183359083012,0.929480207881487,1.258993459928767,-0.194300886736,0.01379053004146716,7.138331106597512,5.0,0.022307284708117228,2.5330740406721817,FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.12265814842199108,0.13478857264689117,0.9287215556384444,1.4777882355134622,-0.2074593296127044,0.010431754405908855,1.0785021149757457,5.0,0.0033703191092992048,2.060853311841853,FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.16218493703738024,0.18469250451861471,0.9131943766848045,1.0792668602964715,-0.21124395830698217,0.014055013045185983,6.944,5.0,0.0217,2.5584107092827626,FeatureSensitivity[identity_ablated][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.16218493703738024,0.18469250451861471,0.9131943766848045,1.0792668602964715,-0.21124395830698217,0.014055013045185983,6.944,5.0,0.0217,2.5584107092827626,FeatureSensitivity[strict_time_series][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.13466308677568772,0.15161105889632123,0.9123906286955848,1.392160722174478,-0.2155316098309269,0.011527375778634824,0.16,5.0,0.0005,2.202512036832744,FeatureSensitivity[metadata_only][XGBoost light],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.11921948985739661,0.13374526547499577,0.9117954946811648,1.466042933916456,-0.21400297190096296,0.010162360874586458,1.0865076047115896,5.0,0.003395336264723718,2.0217171801313367,FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.15836971280491907,0.1802869510080344,0.9113299108289722,1.1860741487583346,-0.19475956397695415,0.013691740915481606,5.664,5.0,0.0177,2.506368715444993,FeatureSensitivity[full][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.14606476870567575,0.1977406081891947,0.7964154428009634,0.8370051446626179,-0.25182553760887805,0.013123639502560777,8.479999999999999,5.0,0.026500000000000003,2.3445379279146903,FeatureSensitivity[ticker_ablated][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.14666065582533916,0.19834248321977682,0.7953670685500748,0.9501312834555237,-0.23209122940240612,0.013146256620621358,10.912,5.0,0.034100000000000005,2.3521672314522624,FeatureSensitivity[ticker_ablated][XGBoost light],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.13994022093771585,0.1948883751738115,0.7766021514867409,0.8483274667055708,-0.24806054657611476,0.012612560954978097,10.234533006059667,5.0,0.03198291564393646,2.2673208572364625,FeatureSensitivity[ticker_ablated][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.1275143976471138,0.1890946531049626,0.7356595833810644,0.8340344057435803,-0.2413518579661328,0.011592441143565307,11.231999999999998,5.0,0.035100000000000006,2.1172059292891436,FeatureSensitivity[full][XGBoost light],feature_sensitivity_model_score,feature_policy_sensitivity,
