Model,Holdout,target_recall,main_threshold,main_alerts,main_frauds_found,main_precision,main_recall,cpu_threshold,cpu_alerts,cpu_frauds_found,cpu_precision,cpu_recall,delta_threshold,delta_alerts,delta_frauds_found,delta_precision,delta_recall
Dummy[Raw],sampled,0.9,0.0015,16981,68,0.0040,0.9067,0.0015,16981,68,0.004,0.9067,0.000000,0.000000,0.000000,0.000000,0.000000
XGBoost[Raw + TabICL embeddings],sampled,0.9,0.0023,446,68,0.1525,0.9067,0.0028,375,68,0.1813,0.9067,-0.000500,71.000000,0.000000,-0.028800,0.000000
XGBoost[Raw + TabICL embeddings] Calibrated,sampled,0.9,0.0003,560,68,0.1214,0.9067,0.0003,579,68,0.1174,0.9067,0.000000,-19.000000,0.000000,0.004000,0.000000
XGBoost[Raw + TabPFN + TabICL embeddings],sampled,0.9,0.0012,794,68,0.0856,0.9067,0.0023,457,68,0.1488,0.9067,-0.001100,337.000000,0.000000,-0.063200,0.000000
XGBoost[Raw + TabPFN + TabICL embeddings] Cali...,sampled,0.9,0.0003,1166,68,0.0583,0.9067,0.0003,1226,68,0.0555,0.9067,0.000000,-60.000000,0.000000,0.002800,0.000000
XGBoost[Raw + TabPFN embeddings],sampled,0.9,0.0001,798,68,0.0852,0.9067,0.0124,583,68,0.1166,0.9067,-0.012300,215.000000,0.000000,-0.031400,0.000000
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,0.9,0.0003,1076,68,0.0632,0.9067,0.0003,1177,68,0.0578,0.9067,0.000000,-101.000000,0.000000,0.005400,0.000000
XGBoost[Raw all-history incumbent],sampled,0.9,0.0004,402,68,0.1692,0.9067,0.0015,842,68,0.0808,0.9067,-0.001100,-440.000000,0.000000,0.088400,0.000000
XGBoost[Raw all-history incumbent] Calibrated,sampled,0.9,0.0003,480,68,0.1417,0.9067,0.0002,755,68,0.0901,0.9067,0.000100,-275.000000,0.000000,0.051600,0.000000
XGBoost[Raw],sampled,0.9,0.0001,835,68,0.0814,0.9067,0.0001,906,68,0.0751,0.9067,0.000000,-71.000000,0.000000,0.006300,0.000000
XGBoost[Raw] Calibrated,sampled,0.9,0.0003,1302,68,0.0522,0.9067,0.0003,899,68,0.0756,0.9067,0.000000,403.000000,0.000000,-0.023400,0.000000
