Objective,Fold,Train Rows,Validation Rows,Train Positive Rows,Validation Positive Rows,Validation Start,Training Labels Resolved Before Validation,Best CV Average Precision,Early Stopping Rounds
top_k_next_3m,1,470,470,141,141,2010-03-31,True,0.36538756773300535,75
top_k_next_3m,2,940,470,282,141,2014-02-28,True,0.36538756773300535,75
