Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Source,Diagnostic Scope,Max Asset Weight Cap
75,0.21287142261326908,0.18404401196982095,1.1493242652964988,1.375072244721786,-0.21019134288328645,0.01762718740328621,8.373333333333333,3.0,0.02616666666666667,3.3407368796582717,FeatureSensitivity[full][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.1643850195506129,0.14331105692988472,1.1392490345244632,1.6915314152987275,-0.22516775058611915,0.013605581937004297,0.3725999456674639,3.0,0.0011643748302108247,2.588831644465598,FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.20899022196410022,0.18289601665843727,1.1378401589233695,1.3521629553578063,-0.21256893257770715,0.017342202721757294,8.611660538297828,3.0,0.026911439182180714,3.2744806433894382,FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.16476095856758133,0.1447375368362658,1.1317801483257535,1.6450405486839677,-0.23146544135825275,0.01365092257573776,0.16,3.0,0.0005,2.594060091390204,FeatureSensitivity[metadata_only][XGBoost light],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.17366408933170918,0.15557897941344054,1.1131709021036242,1.5484091229926875,-0.21259987557144466,0.014432166071835067,0.38808779580106956,3.0,0.0012127743618783426,2.7205007757326802,FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.17229274429543406,0.1572499525872837,1.095469538269693,1.5328287235440503,-0.21697143023103516,0.0143552110794769,0.16,3.0,0.0005,2.700694632359881,FeatureSensitivity[metadata_only][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.16965545283575123,0.15547025330224737,1.091335790268151,1.3801353015288442,-0.22516775058611915,0.014139187645899814,1.6569003419883381,3.0,0.005177813568713557,2.6629449362479694,FeatureSensitivity[ticker_ablated][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.16864786560791756,0.15959760935302786,1.0618677016642846,1.3088424940151984,-0.23146544135825298,0.014122628886234506,1.4399999999999997,3.0,0.0045,2.648640032656027,FeatureSensitivity[ticker_ablated][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.13418228836671453,0.16491622513170912,0.8482702000391589,1.2562648047761964,-0.2762079824520337,0.011657793273514823,7.7686792326808,3.0,0.024277122602127495,2.1966854884786033,FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.13418228836671453,0.16491622513170912,0.8482702000391589,1.2562648047761964,-0.2762079824520337,0.011657793273514823,7.7686792326808,3.0,0.024277122602127495,2.1966854884786033,FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
