month,FeatureSensitivity[full][TabPFN direct],FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[full][XGBoost light],FeatureSensitivity[full][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[identity_ablated][TabPFN direct],FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[identity_ablated][XGBoost light],FeatureSensitivity[identity_ablated][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[metadata_only][TabPFN direct],FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[metadata_only][XGBoost light],FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[strict_time_series][TabPFN direct],FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[strict_time_series][XGBoost light],FeatureSensitivity[strict_time_series][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[ticker_ablated][TabPFN direct],FeatureSensitivity[ticker_ablated][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[ticker_ablated][XGBoost light],FeatureSensitivity[ticker_ablated][XGBoost light] | inverse-vol capped top-k
2020-01,-0.04265977773722997,-0.04144862878964884,-0.11189786633264122,-0.11082545449618075,-0.03222212538859705,-0.03607858585574608,-0.11189786633264122,-0.11082545449618075,-0.04265977773722997,-0.04144862878964885,-0.027398974320995008,-0.02681584794087783,-0.03222212538859705,-0.03607858585574608,-0.11189786633264122,-0.11082545449618075,-0.04265977773722997,-0.04144862878964885,-0.11189786633264122,-0.11082545449618075
2020-02,-0.21019134288328642,-0.21256893257770712,-0.16877921208389698,-0.15827828782027398,-0.0935291885676458,-0.09011104779364251,-0.16877921208389698,-0.15827828782027398,-0.12936374696884945,-0.13017788410439377,-0.10369054873523068,-0.10126673478195806,-0.0935291885676458,-0.09011104779364251,-0.16877921208389698,-0.15827828782027398,-0.16844587875056363,-0.15790534210565807,-0.16877921208389698,-0.15827828782027398
2020-03,0.18752533653398964,0.1807385390438024,0.1904689266154175,0.18381172755625166,0.18752533653398964,0.1807385390438024,0.1904689266154175,0.18381172755625166,0.13225428163894942,0.13047553424148628,0.10236332645254231,0.10158476746055302,0.18752533653398964,0.1807385390438024,0.1904689266154175,0.18381172755625166,0.1835474613040712,0.17654418897933805,0.1904689266154175,0.18381172755625166
2020-04,0.08104882559166662,0.08044238908469395,0.06339485815317827,0.06457642877553887,0.08104882559166662,0.08044238908469394,0.06339485815317827,0.06457642877553887,0.07003688985860804,0.06882521040343441,0.06001461052994216,0.05923403851855609,0.08104882559166662,0.08044238908469394,0.06339485815317827,0.06457642877553887,0.06255601612613917,0.06369564464714782,0.06339485815317827,0.06457642877553887
2020-05,0.032137004863740194,0.03371358518363179,0.017955135613495373,0.01912770047860097,0.021738528153237475,0.023145200396310604,0.017955135613495373,0.01912770047860097,0.04250532580942538,0.04287494618541801,0.051521945428813165,0.05087133798797236,0.021738528153237475,0.023145200396310604,0.017955135613495373,0.01912770047860097,0.041239926459300635,0.043576730866696486,0.008253481334476861,0.008940963485631524
2020-06,0.07375630164959267,0.07582906981681915,0.021589269654983978,0.02527399487528896,0.04562091063086638,0.05050721789996547,0.030980930376065783,0.03513523863242486,0.074089634982926,0.07617906981681916,0.09018171750699172,0.0906240873565885,0.04562091063086638,0.05050721789996547,0.030980930376065783,0.03513523863242486,0.036895916576451235,0.041345974142829575,0.02192260298831731,0.02562399487528896
2020-07,0.04285360122185118,0.0457819827591329,0.01773079708953599,0.019353038420201946,0.01723033450340165,0.01882755270476089,0.017397463756202654,0.019003038420201946,0.055913048452434985,0.05637205489253737,0.051919499758802834,0.05230576952516222,0.01723033450340165,0.01882755270476089,0.017397463756202654,0.019003038420201946,0.035097398727711525,0.03758797014028625,0.021391012449834806,0.023196264548515703
2020-08,-0.035016674066646845,-0.035464392265715086,-0.04875662695206884,-0.043611055552517104,-0.06639307644508692,-0.062129327520186094,-0.05738128725527158,-0.05266694887087999,-0.04072573292697679,-0.04152661268124574,-0.03649317143262672,-0.036914865218453274,-0.06639307644508692,-0.062129327520186094,-0.05738128725527158,-0.05266694887087999,-0.030635739054679898,-0.03088211911533401,-0.05738128725527158,-0.05266694887087999
2020-09,-0.01320050890139579,-0.012136592066399438,-0.007834915635220763,-0.007365757027556762,-0.005480492491546509,-0.003990790979592731,-0.004785322496508241,-0.004163684231908615,-0.005355620141562063,-0.003909675012109062,-0.008405213280274585,-0.007091925320258602,-0.005480492491546509,-0.003990790979592731,-0.004785322496508241,-0.004163684231908615,0.0026977296016205514,0.004546342218232682,-0.007834915635220763,-0.007365757027556762
2020-10,0.13089414880572817,0.13189902562953293,0.15585357800655741,0.14875446216653232,0.054689957359466725,0.0518846246109584,0.15585357800655741,0.14875446216653232,0.08457895186812292,0.08326806884504741,0.055023290692800056,0.0522346246109584,0.054689957359466725,0.0518846246109584,0.15585357800655741,0.14875446216653232,0.054689957359466725,0.0518846246109584,0.21758794859674727,0.21357555128623168
