Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Rule[12M momentum top-k],calibration,2018-01,10,3,-0.07878787878787878,0.3333333333333333,-0.025072508979386805,-0.03735781979090769,0.012285310811520882
Rule[12M momentum top-k],calibration,2018-02,10,3,-0.7696969696969697,0.0,-0.02032446666514509,-0.004879986480257992,-0.015444480184887099
Rule[12M momentum top-k],calibration,2018-03,10,3,-0.18787878787878787,0.0,-0.008075156770564843,0.004936562368662856,-0.013011719139227699
Rule[12M momentum top-k],calibration,2018-04,10,3,-0.16363636363636364,0.3333333333333333,0.01891164118760935,0.019692621154893886,-0.0007809799672845348
Rule[12M momentum top-k],calibration,2018-05,10,3,-0.16363636363636364,0.3333333333333333,-0.004759330131069846,-0.017649763012756704,0.01289043288168686
Rule[12M momentum top-k],calibration,2018-06,10,3,0.43030303030303024,0.0,0.025216533198281505,0.0215040025438336,0.003712530654447904
Rule[12M momentum top-k],calibration,2018-07,10,3,0.5030303030303029,0.6666666666666666,0.02435846884243124,0.0033329127478819998,0.02102555609454924
Rule[12M momentum top-k],calibration,2018-08,10,3,0.1515151515151515,0.3333333333333333,0.003989479890839494,0.0010309020516817368,0.002958577839157757
Rule[12M momentum top-k],calibration,2018-09,10,3,-0.7212121212121211,0.0,-0.08960148098560428,-0.058554044349443946,-0.03104743663616033
Rule[12M momentum top-k],calibration,2018-10,10,3,0.01818181818181818,0.3333333333333333,0.024343230532598643,0.02208610849879087,0.002257122033807773
Rule[12M momentum top-k],calibration,2018-11,10,3,-0.5151515151515151,0.0,-0.12786468538919948,-0.06940870336705254,-0.05845598202214694
Rule[12M momentum top-k],calibration,2018-12,10,3,-0.6242424242424242,0.0,0.04701000337619976,0.08087104354161201,-0.03386104016541225
Rule[12M momentum top-k],calibration,2019-01,10,3,-0.2727272727272727,0.3333333333333333,0.00726053549213268,0.018443614941533692,-0.011183079449401011
Rule[12M momentum top-k],calibration,2019-02,10,3,0.5393939393939393,0.6666666666666666,0.01884493927397494,0.013620913335412243,0.005224025938562698
Rule[12M momentum top-k],calibration,2019-03,10,3,0.04242424242424241,0.6666666666666666,0.025189566390361035,0.019950670128421576,0.0052388962619394595
Rule[12M momentum top-k],calibration,2019-04,10,3,0.18787878787878787,0.3333333333333333,-0.02929791836206726,-0.04051054028279755,0.011212621920730286
Rule[12M momentum top-k],calibration,2019-05,10,3,-0.5272727272727272,0.3333333333333333,0.03895616008400634,0.06616321680139044,-0.027207056717384097
Rule[12M momentum top-k],calibration,2019-06,10,3,0.7212121212121211,0.6666666666666666,0.006852483453147373,-0.0078033540295676775,0.01465583748271505
Rule[12M momentum top-k],calibration,2019-07,10,3,0.8787878787878788,1.0,0.07928873129070424,-0.00904304785562916,0.0883317791463334
Rule[12M momentum top-k],calibration,2019-08,10,3,-0.9030303030303028,0.0,-0.03393834500020543,0.016539760294046767,-0.050478105294252194
Rule[12M momentum top-k],calibration,2019-09,10,3,-0.2121212121212121,0.0,0.010807062382207522,0.02335511118572613,-0.012548048803518608
