Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
FeatureSensitivity[ticker_ablated][TabPFN direct],holdout,"(0.314, 0.317]",87,0.3793103448275862,0.31618352833835556,0.314453125,0.3173828125
FeatureSensitivity[ticker_ablated][TabPFN direct],holdout,"(0.317, 0.321]",62,0.3870967741935484,0.319288456632245,0.318359375,0.32080078125
FeatureSensitivity[ticker_ablated][TabPFN direct],holdout,"(0.321, 0.336]",72,0.2777777777777778,0.3260830417275429,0.3209575116634369,0.33463606238365173
FeatureSensitivity[ticker_ablated][TabPFN direct],holdout,"(0.336, 0.365]",75,0.4266666666666667,0.35813013156255086,0.3515625,0.36492428183555603
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.0685, 0.206]",75,0.28,0.16388613512118658,0.06948348134756088,0.20621028542518616
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.206, 0.257]",75,0.2,0.2322796912988027,0.20646359026432037,0.25709131360054016
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.257, 0.304]",75,0.37333333333333335,0.28252371191978454,0.2576013207435608,0.3033585548400879
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.304, 0.344]",75,0.26666666666666666,0.32374149878819786,0.3038933277130127,0.3433869779109955
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.344, 0.372]",75,0.32,0.3575086760520935,0.34374716877937317,0.37246668338775635
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.372, 0.411]",75,0.28,0.39066266218821205,0.3724781274795532,0.41081270575523376
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.411, 0.444]",75,0.26666666666666666,0.428083868821462,0.4108772575855255,0.44430047273635864
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.444, 0.49]",75,0.3333333333333333,0.4685222391287486,0.44436684250831604,0.48986613750457764
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.49, 0.543]",75,0.30666666666666664,0.5132017477353414,0.49005383253097534,0.5432910323143005
FeatureSensitivity[identity_ablated][XGBoost light],holdout,"(0.543, 0.804]",75,0.37333333333333335,0.6109832247098287,0.5446086525917053,0.8043480515480042
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.125, 0.177]",75,0.24,0.13722215513388317,0.12608323991298676,0.14864535629749298
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.177, 0.235]",75,0.14666666666666667,0.19319406449794768,0.1799878031015396,0.20390720665454865
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.235, 0.299]",75,0.2,0.24920129974683125,0.2429792433977127,0.26056167483329773
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.299, 0.319]",98,0.336734693877551,0.3184555251987613,0.31575092673301697,0.3191697299480438
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.319, 0.32]",53,0.3018867924528302,0.3199804723262787,0.3199804723262787,0.3199804723262787
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.32, 0.322]",112,0.36607142857142855,0.32129740103014875,0.3201465308666229,0.32177734375
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.322, 0.323]",57,0.3157894736842105,0.3225167022462477,0.3224310576915741,0.3225885331630707
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.323, 0.324]",89,0.29213483146067415,0.32369206460674155,0.3232421875,0.32421875
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.324, 0.33]",41,0.36585365853658536,0.32582956915948447,0.3251953125,0.32861328125
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,"(0.33, 0.354]",75,0.4266666666666667,0.34924256483713784,0.341796875,0.3541768491268158
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.305, 0.352]",75,0.24,0.30587494373321533,0.30587494373321533,0.30587494373321533
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.352, 0.406]",75,0.14666666666666667,0.3573952317237854,0.3573952317237854,0.3573952317237854
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.406, 0.479]",75,0.2,0.41770586371421814,0.41770586371421814,0.41770586371421814
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.479, 0.519]",75,0.4,0.5052182674407959,0.5052182674407959,0.5052182674407959
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.519, 0.534]",75,0.3333333333333333,0.5284761190414429,0.5284761190414429,0.5284761190414429
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.534, 0.542]",75,0.41333333333333333,0.5404168963432312,0.5404168963432312,0.5404168963432312
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.542, 0.547]",75,0.18666666666666668,0.5440083146095276,0.5440083146095276,0.5440083146095276
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.547, 0.557]",75,0.26666666666666666,0.5535504817962646,0.5535504817962646,0.5535504817962646
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.557, 0.573]",75,0.38666666666666666,0.5701619386672974,0.5701619386672974,0.5701619386672974
FeatureSensitivity[metadata_only][XGBoost light],holdout,"(0.573, 0.6]",75,0.4266666666666667,0.6002848744392395,0.6002848744392395,0.6002848744392395
FeatureSensitivity[metadata_only][TabPFN direct],holdout,"(0.155, 0.202]",150,0.19333333333333333,0.17900379747152328,0.15625,0.20175759494304657
FeatureSensitivity[metadata_only][TabPFN direct],holdout,"(0.202, 0.269]",75,0.2,0.2685546875,0.2685546875,0.2685546875
FeatureSensitivity[metadata_only][TabPFN direct],holdout,"(0.269, 0.308]",75,0.41333333333333333,0.3076171875,0.3076171875,0.3076171875
FeatureSensitivity[metadata_only][TabPFN direct],holdout,"(0.308, 0.309]",150,0.29333333333333333,0.30859375,0.30859375,0.30859375
FeatureSensitivity[metadata_only][TabPFN direct],holdout,"(0.309, 0.317]",75,0.26666666666666666,0.3165731132030487,0.3165731132030487,0.3165731132030487
FeatureSensitivity[metadata_only][TabPFN direct],holdout,"(0.317, 0.321]",75,0.38666666666666666,0.3214547336101532,0.3214547336101532,0.3214547336101532
FeatureSensitivity[metadata_only][TabPFN direct],holdout,"(0.321, 0.328]",75,0.3333333333333333,0.3277967870235443,0.3277967870235443,0.3277967870235443
FeatureSensitivity[metadata_only][TabPFN direct],holdout,"(0.328, 0.338]",75,0.4266666666666667,0.33805224299430847,0.33805224299430847,0.33805224299430847
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.0685, 0.206]",75,0.28,0.16388613512118658,0.06948348134756088,0.20621028542518616
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.206, 0.257]",75,0.2,0.2322796912988027,0.20646359026432037,0.25709131360054016
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.257, 0.304]",75,0.37333333333333335,0.28252371191978454,0.2576013207435608,0.3033585548400879
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.304, 0.344]",75,0.26666666666666666,0.32374149878819786,0.3038933277130127,0.3433869779109955
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.344, 0.372]",75,0.32,0.3575086760520935,0.34374716877937317,0.37246668338775635
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.372, 0.411]",75,0.28,0.39066266218821205,0.3724781274795532,0.41081270575523376
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.411, 0.444]",75,0.26666666666666666,0.428083868821462,0.4108772575855255,0.44430047273635864
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.444, 0.49]",75,0.3333333333333333,0.4685222391287486,0.44436684250831604,0.48986613750457764
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.49, 0.543]",75,0.30666666666666664,0.5132017477353414,0.49005383253097534,0.5432910323143005
