trial,params,mean_test_score,std_test_score,fold_scores,mean_best_iteration,max_best_iteration,fold_best_iterations,early_stopping_rounds,errors
1,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.5592630224331111}",0.3483777107200073,0.04418380767308733,"[0.30419390304691996, 0.3925615183930946]",6.0,9.0,"[3, 9]",75,
2,"{""colsample_bylevel"": 0.9849549260809971, ""colsample_bytree"": 0.907843452440232, ""gamma"": 0.00021774846673949344, ""learning_rate"": 0.0064380360133489065, ""max_bin"": 404, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 4.558060845880422, ""n_estimators"": 2700, ""reg_alpha"": 0.01055881377906483, ""reg_lambda"": 0.5147650321325028, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.729937437271865}",0.31517262852089334,0.01878887995889153,"[0.29638374856200184, 0.3339615084797849]",6.0,7.0,"[5, 7]",75,
3,"{""colsample_bylevel"": 0.5233328316068078, ""colsample_bytree"": 0.9855655353628026, ""gamma"": 0.0002928863947598484, ""learning_rate"": 0.004389136856236538, ""max_bin"": 690, ""max_delta_step"": 5, ""max_depth"": 8, ""min_child_weight"": 70.69028508408155, ""n_estimators"": 1928, ""reg_alpha"": 2.114233203549714e-05, ""reg_lambda"": 6.478539664840222, ""scale_pos_weight"": 1.0, ""subsample"": 0.7527246633862944}",0.310932704013518,0.010932704013518063,"[0.3, 0.3218654080270361]",12.0,23.0,"[1, 23]",75,
4,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.03542386603907951, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 7.786364268056034, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 6.606970206752631, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.6280140940784975}",0.3514333592382662,0.038930950753085336,"[0.31250240848518085, 0.3903643099913515]",7.5,14.0,"[1, 14]",75,
5,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.5748504874729697, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.19555361970422389, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.8315537187516697, ""scale_pos_weight"": 1.5275252316519468, ""subsample"": 0.952672307692442}",0.33705410722550627,0.032646827637989984,"[0.3044072795875163, 0.36970093486349626]",3.0,3.0,"[3, 3]",75,
6,"{""colsample_bylevel"": 0.7989499894055425, ""colsample_bytree"": 0.9570308292627143, ""gamma"": 3.610720816945312e-05, ""learning_rate"": 0.006832444467900929, ""max_bin"": 829, ""max_delta_step"": 10, ""max_depth"": 9, ""min_child_weight"": 12.401473873452447, ""n_estimators"": 1278, ""reg_alpha"": 6.326486185661585, ""reg_lambda"": 0.8698504235548351, ""scale_pos_weight"": 1.0, ""subsample"": 0.6134159012386432}",0.32259956036391246,0.03671500925139781,"[0.28588455111251465, 0.3593145696153103]",6.0,11.0,"[1, 11]",75,
