month,rows,positive_rows,mean_forward_return
2006-01,10,3,-0.009449642897270693
2006-02,10,3,0.017290286134463307
2006-03,10,3,0.03021270533082565
2006-04,10,3,-0.04665008503228307
2006-05,10,3,0.008560576915647145
2006-06,10,3,0.0002731999478935099
2006-07,10,3,0.020191331152235203
2006-08,10,3,0.003914591483554664
2006-09,10,3,0.03815826737171071
2006-10,10,3,0.032176783954153396
2006-11,10,3,0.010526579324413166
2006-12,10,3,0.0058249091010572854
2007-01,10,3,-0.019829272313999214
2007-02,10,3,0.026681643387376996
2007-03,10,3,0.031643259101509405
2007-04,10,3,0.024014843411200915
2007-05,10,3,-0.0037611482428478228
2007-06,10,3,-0.01998486060699104
2007-07,10,3,0.018111013681634435
2007-08,10,3,0.05054406593617573
2007-09,10,3,0.025284869534023802
2007-10,10,3,-0.02313191089582802
2007-11,10,3,0.007712660180503983
2007-12,10,3,-0.03640089125930625
2008-01,10,3,-0.011497925503355511
2008-02,10,3,-0.002705067050601473
2008-03,10,3,0.029450240589599008
2008-04,10,3,0.012689074507077302
2008-05,10,3,-0.0537238140977066
2008-06,10,3,-0.008983397337482091
2008-07,10,3,-0.012827077439251256
2008-08,10,3,-0.07157615065869574
2008-09,10,3,-0.15889602961398003
2008-10,10,3,-0.052166763445742656
2008-11,10,3,0.07718124322891928
2008-12,10,3,-0.0971803385660268
2009-01,10,3,-0.07719986805838726
2009-02,10,3,0.08640884757906363
2009-03,10,3,0.09182241332512538
2009-04,10,3,0.08485994278200958
2009-05,10,3,-0.016448419896867884
2009-06,10,3,0.06893940156546581
2009-07,10,3,0.013422569609778622
2009-08,10,3,0.046425503869348586
2009-09,10,3,-0.010512387463119267
2009-10,10,3,0.05388182394840559
2009-11,10,3,0.003314013571988794
2009-12,10,3,-0.034747805376421435
2010-01,10,3,0.022212086877227068
2010-02,10,3,0.04740833360732891
2010-03,10,3,0.019407717806193048
2010-04,10,3,-0.05961711305430136
2010-05,10,3,-0.01671181045946224
2010-06,10,3,0.06345745594300001
2010-07,10,3,-0.020524988999264082
2010-08,10,3,0.0693109856245461
2010-09,10,3,0.026818891196085715
2010-10,10,3,0.005433072463024835
2010-11,10,3,0.044654505655062425
2010-12,10,3,0.003842812525968087
2011-01,10,3,0.030665526889258044
2011-02,10,3,0.00768124470005036
2011-03,10,3,0.029742248760139412
2011-04,10,3,-0.015830641513479626
2011-05,10,3,-0.017807884501084514
2011-06,10,3,0.015676129621410385
2011-07,10,3,-0.03693265001647524
2011-08,10,3,-0.07534354943995056
2011-09,10,3,0.07119724385915144
2011-10,10,3,0.014563753062647223
2011-11,10,3,0.007346183232847181
2011-12,10,3,0.049417477853073113
2012-01,10,3,0.0236588781896236
2012-02,10,3,0.0014731185693433902
2012-03,10,3,-0.0020269588747378053
2012-04,10,3,-0.06428598036100022
2012-05,10,3,0.04670255916859391
2012-06,10,3,0.01299270705584642
2012-07,10,3,0.02005907827415824
2012-08,10,3,0.029852530294170253
2012-09,10,3,-0.01609842303332304
2012-10,10,3,0.007870561635785344
2012-11,10,3,0.025238630701063903
2012-12,10,3,0.019052493313749995
2013-01,10,3,-0.010645104350312084
2013-02,10,3,0.020985122194447592
2013-03,10,3,0.00915178677239591
2013-04,10,3,-0.000732047563771121
2013-05,10,3,-0.030598690718629584
2013-06,10,3,0.04140689847926961
2013-07,10,3,-0.011713673883937292
2013-08,10,3,0.021844756855522195
2013-09,10,3,0.02996380052606009
2013-10,10,3,0.005006256429521261
2013-11,10,3,0.004912354135457475
2013-12,10,3,-0.017141071782026472
2014-01,10,3,0.03573831488206771
2014-02,10,3,0.011040662502643638
2014-03,10,3,0.0026695566211339173
2014-04,10,3,0.01805759399004341
2014-05,10,3,0.02937604018749197
2014-06,10,3,-0.01730701530408183
2014-07,10,3,0.028238107052491544
2014-08,10,3,-0.03550145592034078
2014-09,10,3,0.013126211170716018
2014-10,10,3,0.0031217865846012273
2014-11,10,3,0.0004724415698781015
2014-12,10,3,0.0036435504954842046
2015-01,10,3,0.02318048329872463
2015-02,10,3,-0.0035585006133121875
2015-03,10,3,0.010802835195417115
