Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Transaction Cost Bps
75,0.17680255541350998,0.1393571336571743,1.244004440928005,2.3515376670623143,-0.1389980364950354,0.014446741095376869,7.967240948610101,3.0,0.0,2.766288793728042,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,0.0
75,0.17992683854182578,0.14196606136860435,1.242599601115703,2.2698001964149332,-0.13866091243409928,0.014700580935716264,7.733333333333333,3.0,0.0,2.812511118446025,Rule[Risk-adjusted momentum top-k],0.0
75,0.15858239187791234,0.13623201133727428,1.1544648712496954,1.8062402479514943,-0.14664724229957948,0.013106255952381117,4.746666666666667,3.0,0.0,2.509246192424623,12M momentum top-k portfolio,0.0
75,0.13449784678356957,0.14703466158487075,0.9351467515567963,1.6653607467349005,-0.15874162903740774,0.011458248845612064,5.868364570280465,3.0,0.0,2.2005081161443036,Rule[6M momentum top-k] | inverse-vol capped top-k,0.0
75,0.1349635700601095,0.14967974144803647,0.9240492372308892,1.6248567869543418,-0.14892961693487183,0.011525954242831236,5.706666666666666,3.0,0.0,2.206160026588468,Rule[6M momentum top-k],0.0
75,0.15346585014578729,0.17816282062826777,0.8947987470363066,1.2631814950057778,-0.2331290204984039,0.013284989055552355,0.16,1.0,0.0,2.440785600302248,SPY only,0.0
75,0.13854492022359954,0.16497625710799696,0.871506369576552,1.2909568869109296,-0.27227333590420233,0.01198148824154319,7.7686792326808,3.0,0.0,2.2500313141554713,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,0.0
75,0.1393470690787102,0.1678221810450531,0.86367960635048,1.2792653384780528,-0.27810071654603197,0.012078716271822538,7.413333333333334,3.0,0.0,2.2599573680002853,TabPFN[Direct allocation scorer],0.0
75,0.11669316785104988,0.1396638170094814,0.8635363996505144,1.1374051724204912,-0.17812586947425968,0.01005039914181799,0.16,10.0,0.0,1.993364038428892,Equal weight universe,0.0
75,0.14859791709146508,0.1937064486198327,0.8129714142531992,1.3987295656456051,-0.33876413240736225,0.01312315045703584,4.746666666666666,3.0,0.0,2.3771147802786876,TabPFN[Direct allocation scorer] Calibration Base,0.0
75,0.14593233749185064,0.19035571393887263,0.8117980137453641,1.3956588232263534,-0.33580653251467474,0.012877532540054795,4.98338732586779,3.0,0.0,2.3428452015977244,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,0.0
75,0.08211321107077652,0.11148015261313589,0.7656500405300083,1.0475075342992928,-0.18453245343743585,0.007112898613878251,1.0432123756274145,10.0,0.0,1.637586954482948,Inverse volatility universe,0.0
75,0.06641241444332291,0.09259559652621757,0.7419660294877276,1.1709558638156479,-0.2022859388891629,0.00572523225855044,4.213333333333333,3.0,0.0,1.4946257191423689,Low volatility top-k portfolio,0.0
75,0.11332295540708337,0.18716620095096986,0.6668947073215226,1.0907801542794222,-0.2398230399880691,0.010401679066973197,13.449375011486396,3.0,0.0,1.9560604575738871,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,0.0
75,0.11332295540708337,0.18716620095096986,0.6668947073215226,1.0907801542794222,-0.2398230399880691,0.010401679066973197,13.449375011486396,3.0,0.0,1.9560604575738871,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,0.0
75,0.11505991705005791,0.19171279146975975,0.6637773586545416,1.0621119107456465,-0.24297773404701162,0.010604550861840506,13.173333333333336,3.0,0.0,1.9752122868327702,XGBoost[GPU allocation scorer] Calibrated,0.0
75,0.11505991705005791,0.19171279146975975,0.6637773586545416,1.0621119107456465,-0.24297773404701162,0.010604550861840506,13.173333333333336,3.0,0.0,1.9752122868327702,XGBoost[GPU allocation scorer] Calibration Base,0.0
75,0.07169842395672976,0.12845614864569424,0.6040522505718765,0.9994436557688823,-0.24937020711910918,0.00646618547410226,0.16,2.0,0.0,1.5415361023480891,60/40 SPY/TLT,0.0
75,0.07826704290277031,0.18679511836416499,0.4950392243278504,0.7798979614070256,-0.24637391023244182,0.007705909208602105,12.22733980572993,3.0,0.0,1.601546565164229,XGBoost[GPU allocation scorer] | inverse-vol capped top-k,0.0
75,0.07605175860837954,0.19125628442683815,0.47708304432187076,0.7359238519345331,-0.2474551629205104,0.007603760868337129,12.0,3.0,0.0,1.581092432529107,XGBoost[GPU allocation scorer],0.0
75,0.17218739676645356,0.13932680880502946,1.2156832853843644,2.2963126586611002,-0.13993254904624808,0.01411477272251812,7.967240948610101,3.0,0.02489762796440657,2.6991781361534426,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,5.0
75,0.17543491519460153,0.14194289497209364,1.215561403026551,2.2172114931492013,-0.13955134544917114,0.014378358713494042,7.733333333333333,3.0,0.02416666666666667,2.7462569436868987,Rule[Risk-adjusted momentum top-k],5.0
75,0.15587370606637663,0.1361970762856219,1.1373352668040555,1.781927977450687,-0.147482182369586,0.01290847817460334,4.746666666666667,3.0,0.014833333333333332,2.4728051864024643,12M momentum top-k portfolio,5.0
75,0.1311695481367421,0.14725184036437422,0.9138412364098429,1.6225198153218785,-0.16228304883692102,0.011213733655183713,5.868364570280465,3.0,0.018338639282126454,2.160469585930115,Rule[6M momentum top-k] | inverse-vol capped top-k,5.0
75,0.13172326526228129,0.1499007763413166,0.9036518748389274,1.5843489274711953,-0.15297955997411228,0.011288176465053458,5.706666666666666,3.0,0.017833333333333336,2.1670878867667986,Rule[6M momentum top-k],5.0
75,0.15336577081554736,0.17820435708210886,0.8941412616146714,1.2618628156458782,-0.233129020498404,0.013278322388885688,0.16,1.0,0.0005,2.439462324451691,SPY only,5.0
75,0.11659946366419538,0.13969673561423634,0.8627602439804849,1.1363135276829528,-0.1781258694742598,0.01004373247515132,0.16,10.0,0.0005,1.9923188463429855,Equal weight universe,5.0
75,0.13418228836671453,0.16491622513170912,0.8482702000391589,1.2562648047761964,-0.2762079824520337,0.011657793273514823,7.7686792326808,3.0,0.024277122602127495,2.1966854884786033,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,5.0
75,0.1351834372032279,0.167751601359095,0.8419468276363267,1.2428749345071866,-0.28179624195674824,0.011769827382933647,7.413333333333334,3.0,0.023166666666666672,2.2088325178384878,TabPFN[Direct allocation scorer],5.0
75,0.14588334279593962,0.19379227858940543,0.8003645618911478,1.3786920064579393,-0.34124205967328636,0.012925372679258062,4.746666666666666,3.0,0.01483333333333333,2.3422192151062533,TabPFN[Direct allocation scorer] Calibration Base,5.0
75,0.1430903328522537,0.19043940480058102,0.7983573408924021,1.3740129848116047,-0.3384535424847046,0.01266989140147697,4.98338732586779,3.0,0.015573085393336843,2.3067655109334937,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,5.0
