Objective,Fold,Train Rows,Validation Rows,Train Positive Rows,Validation Positive Rows,Validation Start,Training Labels Resolved Before Validation,Best CV Average Precision,Early Stopping Rounds
top_k_next_6m,1,440,470,132,141,2010-03-31,True,0.3514333592382662,75
top_k_next_6m,2,910,470,273,141,2014-02-28,True,0.3514333592382662,75
