month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[6M momentum top-k],Rule[6M momentum top-k] | inverse-vol capped top-k,Rule[Risk-adjusted momentum top-k],Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] | inverse-vol capped top-k,TabPFN[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibration Base,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0
2020-02,0.0,0.0,0.0,0.18219251225326938,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.345710456034096,1.3333333333333333,1.3239389325320134,0.0,0.0854837778479614,0.6666666666666666,0.7,1.3333333333333333,1.4,1.9999999999999998,2.0,1.9999999999999998,2.0
2020-03,0.0,0.0,0.0,0.2083750842655043,0.6666666666666666,0.0,1.3333333333333333,1.3999999999999997,0.0,0.023938932532013346,1.3333333333333333,1.3648378539000228,0.6666666666666666,0.7,1.3333333333333333,1.4,0.6666666666666666,0.7,0.6666666666666666,0.7
2020-04,0.0,0.0,0.0,0.03768968117880616,0.0,0.0,0.6666666666666666,0.7,0.0,0.0,0.6666666666666666,0.6101244980391343,0.6666666666666666,0.7,1.3333333333333333,1.4,0.6666666666666666,0.7,0.6666666666666666,0.7
2020-05,0.0,0.0,0.0,0.018860734898248153,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.7,1.3333333333333333,1.3101244980391342,0.6666666666666666,0.7,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,0.0,0.0,0.0,0.17270482892372213,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7,0.6666666666666666,0.7,0.6666666666666666,0.7,1.3333333333333333,1.3,1.3333333333333333,1.3
2020-07,0.0,0.0,0.0,0.042587445023264135,0.0,0.0,0.0,0.0,0.6666666666666666,0.7,0.6666666666666666,0.7,0.6666666666666666,0.7,0.0,0.0,1.3333333333333333,1.3,1.3333333333333333,1.3
2020-08,0.0,0.0,0.0,0.09331539729735042,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7203695803781744,1.3333333333333333,1.3120215873820757,0.0,0.0,0.6666666666666666,0.6000000000000001,0.6666666666666666,0.7,1.9999999999999998,2.0,1.9999999999999998,2.0
2020-09,0.0,0.0,0.0,0.0890800629829814,0.0,0.6666666666666666,0.6666666666666666,0.7,0.6666666666666666,0.7,1.3333333333333333,1.4,1.3333333333333333,1.3,0.0,0.0,0.6666666666666666,0.6000000000000001,0.6666666666666666,0.6000000000000001
2020-10,0.0,0.0,0.0,0.08333498958755581,0.6666666666666666,0.0,0.6666666666666666,0.7,0.6666666666666666,0.7,0.6666666666666666,0.7,0.0,0.004705076326255442,0.6666666666666666,0.7,1.3333333333333333,1.4,1.3333333333333333,1.4
2020-11,0.0,0.0,0.0,0.08795987698962418,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.7,1.3333333333333333,1.4,0.6666666666666666,0.7047050763262555,1.3333333333333333,1.3,1.9999999999999998,2.0,1.9999999999999998,2.0
2020-12,0.0,0.0,0.0,0.08449080116491478,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6000000000000001,0.6666666666666666,0.7,0.0,0.06899352704106754,0.0,0.0,0.6666666666666666,0.7,0.6666666666666666,0.68174950325513,0.6666666666666666,0.68174950325513
2021-01,0.0,0.0,0.0,0.04408809701336143,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6000000000000001,0.6666666666666666,0.7023171260830952,0.0,0.0,1.3333333333333333,1.3,1.9999999999999998,1.9999999999999998,1.9999999999999998,1.9999999999999998
