month,asset,weight,Strategy
2025-08,EEM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-09,EEM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-10,EEM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-11,EEM,0.30000000000000004,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-12,EEM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-01,EEM,0.35000000000000003,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-02,EEM,0.3437232868508775,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-03,EEM,0.30000000000000004,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-02,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-03,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-04,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-05,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-06,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-07,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-08,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-09,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-10,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-11,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-12,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-01,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-02,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-03,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-04,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-05,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-06,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-07,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-08,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-09,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-10,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-11,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-12,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-01,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-02,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-03,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-04,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-05,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-06,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-07,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-08,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-09,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-10,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-11,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-12,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-01,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
