Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Turnover Cap,Constraint Source
75,0.17003528060142625,0.13527999452325642,1.234566081450919,2.1842912369321477,-0.1340536502416283,0.013917674394773207,5.6475870320121935,6.1066666666666665,0.017648709475038105,2.6683542376444263,Rule[Risk-adjusted momentum top-k],0.5,post_score_turnover_cap
75,0.16529694705947673,0.13238923845104242,1.2276448773720512,2.2117651135663947,-0.13499568022244413,0.013543914200300768,5.693202948360257,6.1066666666666665,0.017791259213625805,2.601529794479804,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.1579788662210031,0.13364958827764928,1.1702582707985774,1.8150337641631076,-0.14101152478029433,0.013033711339228638,3.9674047425481613,4.0,0.012398139820463006,2.501087918573949,12M momentum top-k portfolio,0.5,post_score_turnover_cap
75,0.14024905514050268,0.15311457350608668,0.9381490364151902,1.3456116245239167,-0.15328375875063738,0.011970357466321503,4.558759454898418,4.4,0.014246123296557552,2.2711627494836852,Rule[6M momentum top-k] | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.14218206052392124,0.15590397065769337,0.9351212861504125,1.3188665523455132,-0.14515223529654375,0.012149093463114869,4.491515022850413,4.32,0.014035984446407542,2.295333747253808,Rule[6M momentum top-k],0.5,post_score_turnover_cap
75,0.15336577081554736,0.17820435708210886,0.8941412616146714,1.2618628156458782,-0.233129020498404,0.013278322388885688,0.16,1.0,0.0005,2.439462324451691,SPY only,0.5,post_score_turnover_cap
75,0.1313545381086314,0.15680868507952633,0.86856494458177,1.2656134986221794,-0.2500152838435218,0.011349877238836585,5.120844318372378,5.1066666666666665,0.016002638494913686,2.162678786245572,TabPFN[Direct allocation scorer],0.5,post_score_turnover_cap
75,0.12867094208425756,0.1538821188571638,0.8665360933243152,1.30366337995915,-0.2449164020407052,0.011112034175579556,5.197909243442329,5.08,0.01624346638575728,2.1308157638629703,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.11659946366419538,0.13969673561423634,0.8627602439804849,1.1363135276829528,-0.1781258694742598,0.01004373247515132,0.16,10.0,0.0005,1.9923188463429855,Equal weight universe,0.5,post_score_turnover_cap
75,0.14782648474598692,0.19212288302534944,0.8152705428525683,1.3245516753156545,-0.3166005317401337,0.01305267726153976,3.6561237425685444,3.76,0.0114253866955267,2.3671539768337766,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.14856195803345695,0.19556171276895645,0.8073695734458989,1.321311933492314,-0.32280770668918257,0.013157548051718482,3.546151849457503,3.8533333333333335,0.0110817245295547,2.376649692678126,TabPFN[Direct allocation scorer] Calibration Base,0.5,post_score_turnover_cap
75,0.08154810711806681,0.11151416348128201,0.7607390355662291,1.040457430112537,-0.18475976008626027,0.007069431431560441,1.0432123756274145,10.0,0.0032600386738356702,1.6322493705193108,Inverse volatility universe,0.5,post_score_turnover_cap
75,0.06322295901096009,0.09046285213776199,0.72403697140335,1.141724617536039,-0.19717967455656382,0.005458204123861189,3.684190476190476,3.7333333333333334,0.011513095238095239,1.4669055884961928,Low volatility top-k portfolio,0.5,post_score_turnover_cap
75,0.09919785774444612,0.17831235180150645,0.622619815638687,0.7617216562237591,-0.2201762306885241,0.009251733633729553,6.08,9.52,0.019000000000000003,1.8060268730559121,XGBoost[GPU allocation scorer] Calibrated,0.5,post_score_turnover_cap
75,0.09919785774444612,0.17831235180150645,0.622619815638687,0.7617216562237591,-0.2201762306885241,0.009251733633729553,6.08,9.52,0.019000000000000003,1.8060268730559121,XGBoost[GPU allocation scorer] Calibration Base,0.5,post_score_turnover_cap
75,0.09673927362271617,0.1748013837580466,0.618693474930891,0.7604320496172933,-0.22210769100478656,0.009012372961666173,6.08,9.52,0.019000000000000003,1.7809274277232214,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.09673927362271617,0.1748013837580466,0.618693474930891,0.7604320496172933,-0.22210769100478656,0.009012372961666173,6.08,9.52,0.019000000000000003,1.7809274277232214,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.07161114635100496,0.12847140219654052,0.6033578241065889,0.9990020866338978,-0.24937020711910918,0.006459518807435594,0.16,2.0,0.0005,1.5407516417977707,60/40 SPY/TLT,0.5,post_score_turnover_cap
75,0.08845097603224228,0.19245510599589735,0.5395831996947229,0.6173063776891528,-0.24568947634122895,0.008653795157571113,5.915456482422176,7.973333333333334,0.018485801507569302,1.698460523104569,XGBoost[GPU allocation scorer] | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.08977266739799505,0.19656665517697838,0.5385442768748491,0.6197364109965203,-0.24971549775144797,0.008821653930832805,5.891108837217256,7.973333333333334,0.018409715116303925,1.7113917920221793,XGBoost[GPU allocation scorer],0.5,post_score_turnover_cap
75,0.1728830050672363,0.14046619084174206,1.2111772514865689,2.1771593689313837,-0.13955134544917125,0.014177454579207417,7.440000000000001,3.3066666666666666,0.023250000000000003,2.7092047857039856,Rule[Risk-adjusted momentum top-k],1.0,post_score_turnover_cap
75,0.16951861636407006,0.13786592027334332,1.2103459866799502,2.2456079809633436,-0.13993254904624808,0.013905455275231592,7.619544058404546,3.3066666666666666,0.02381107518251421,2.66099844366566,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,1.0,post_score_turnover_cap
75,0.15496667796310382,0.1360795812648354,1.1323618387782364,1.772605305976813,-0.147482182369586,0.012840943738435124,4.693333333333333,3.026666666666667,0.014666666666666666,2.460702389021195,12M momentum top-k portfolio,1.0,post_score_turnover_cap
75,0.13111744895237964,0.14984684872455625,0.9004433310836834,1.508261152506096,-0.15911353876007472,0.011244049634827684,5.54313225459445,3.2266666666666666,0.01732228829560765,2.159847745597922,Rule[6M momentum top-k] | inverse-vol capped top-k,1.0,post_score_turnover_cap
75,0.15336577081554736,0.17820435708210886,0.8941412616146714,1.2618628156458782,-0.233129020498404,0.013278322388885688,0.16,1.0,0.0005,2.439462324451691,SPY only,1.0,post_score_turnover_cap
75,0.1319727299002611,0.15233887487585854,0.8932439638173478,1.4796234149287124,-0.14989852959167682,0.011339648369798908,5.40222222222222,3.2266666666666666,0.016881944444444446,2.170075171299865,Rule[6M momentum top-k],1.0,post_score_turnover_cap
75,0.13722676326907335,0.16079017582982996,0.8832470422107801,1.2885739298840948,-0.2580542222513398,0.011834787268187383,7.36187019766036,3.2666666666666666,0.023005844367688624,2.233799546166491,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,1.0,post_score_turnover_cap
75,0.13835513134976885,0.16368434329481443,0.8765323322332257,1.2752224810372306,-0.26551961307667027,0.011956218264855639,7.066666666666666,3.2666666666666666,0.022083333333333337,2.247688169361564,TabPFN[Direct allocation scorer],1.0,post_score_turnover_cap
75,0.11659946366419538,0.13969673561423634,0.8627602439804849,1.1363135276829528,-0.1781258694742598,0.01004373247515132,0.16,10.0,0.0005,1.9923188463429855,Equal weight universe,1.0,post_score_turnover_cap
75,0.14810864305525762,0.19385081168159743,0.810310770111004,1.3901831053122446,-0.34124205967328614,0.013089950041696538,4.586666666666666,3.08,0.014333333333333333,2.3707931554845403,TabPFN[Direct allocation scorer] Calibration Base,1.0,post_score_turnover_cap
75,0.14543317790617927,0.19051335413640685,0.8089961924600929,1.3876099100276797,-0.3384535424847047,0.012843714842429537,4.8235966608042915,3.08,0.015073739565013412,2.3364742032963233,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,1.0,post_score_turnover_cap
75,0.08154810711806681,0.11151416348128201,0.7607390355662291,1.040457430112537,-0.18475976008626027,0.007069431431560441,1.0432123756274145,10.0,0.0032600386738356702,1.6322493705193108,Inverse volatility universe,1.0,post_score_turnover_cap
75,0.06465693169056097,0.09254842281846008,0.7244065420879917,1.1347738261982847,-0.2031136210024157,0.005586890245801505,4.16,3.1066666666666665,0.013,1.4793145797922107,Low volatility top-k portfolio,1.0,post_score_turnover_cap
75,0.07161114635100496,0.12847140219654052,0.6033578241065889,0.9990020866338978,-0.24937020711910918,0.006459518807435594,0.16,2.0,0.0005,1.5407516417977707,60/40 SPY/TLT,1.0,post_score_turnover_cap
75,0.09871094768235378,0.18903646660684031,0.593451423072377,0.8362330846568481,-0.22249886382726003,0.00934866334336694,10.542461580744472,5.026666666666666,0.03294519243982647,1.8010326017543663,XGBoost[GPU allocation scorer] Calibrated,1.0,post_score_turnover_cap
75,0.09871094768235378,0.18903646660684031,0.593451423072377,0.8362330846568481,-0.22249886382726003,0.00934866334336694,10.542461580744472,5.026666666666666,0.03294519243982647,1.8010326017543663,XGBoost[GPU allocation scorer] Calibration Base,1.0,post_score_turnover_cap
75,0.09592395580444046,0.1844289062351008,0.5898407849674163,0.8351342469919452,-0.2251134971085056,0.009065307568699492,10.637551828827156,5.026666666666666,0.033242349465084864,1.7726689053703761,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,1.0,post_score_turnover_cap
75,0.09592395580444046,0.1844289062351008,0.5898407849674163,0.8351342469919452,-0.2251134971085056,0.009065307568699492,10.637551828827156,5.026666666666666,0.033242349465084864,1.7726689053703761,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,1.0,post_score_turnover_cap
75,0.07076288801095432,0.1900435809080744,0.45414917047919673,0.6332716493707587,-0.2464506064496761,0.0071923445520248415,9.958362638265804,4.973333333333334,0.031119883244580638,1.5331448551446902,XGBoost[GPU allocation scorer] | inverse-vol capped top-k,1.0,post_score_turnover_cap
75,0.0705435513837036,0.19388186997136383,0.4477976609812105,0.6265188607595769,-0.24937655660190006,0.007234987323319994,9.889098126242487,4.8533333333333335,0.03090343164450778,1.5311830876288388,XGBoost[GPU allocation scorer],1.0,post_score_turnover_cap
