stage,device_index,device_name,allocated_mb,reserved_mb,max_allocated_mb,free_mb,total_mb
after_FeatureSensitivity[metadata_only][XGBoost light]_prediction,0,Tesla T4,9.125,22.0,1309.919921875,14755.8125,14912.6875
after_FeatureSensitivity[metadata_only][XGBoost light]_prediction,1,Tesla T4,9.931640625,22.0,1617.34375,14757.8125,14912.6875
after_FeatureSensitivity[metadata_only][TabPFN direct]_prediction,0,Tesla T4,9.125,22.0,1309.919921875,14755.8125,14912.6875
after_FeatureSensitivity[metadata_only][TabPFN direct]_prediction,1,Tesla T4,9.931640625,22.0,1617.34375,14757.8125,14912.6875
after_FeatureSensitivity[strict_time_series][XGBoost light]_prediction,0,Tesla T4,9.125,22.0,1309.919921875,14755.8125,14912.6875
after_FeatureSensitivity[strict_time_series][XGBoost light]_prediction,1,Tesla T4,9.931640625,22.0,1617.34375,14757.8125,14912.6875
after_FeatureSensitivity[strict_time_series][TabPFN direct]_prediction,0,Tesla T4,9.125,22.0,1309.919921875,14755.8125,14912.6875
after_FeatureSensitivity[strict_time_series][TabPFN direct]_prediction,1,Tesla T4,9.931640625,22.0,1617.34375,14757.8125,14912.6875
after_xgboost_final_prediction,0,Tesla T4,9.125,22.0,1309.919921875,14753.8125,14912.6875
after_xgboost_final_prediction,1,Tesla T4,9.931640625,22.0,1617.34375,14757.8125,14912.6875
after_xgboost_workflow,0,Tesla T4,9.125,22.0,1309.919921875,14753.8125,14912.6875
after_xgboost_workflow,1,Tesla T4,9.931640625,22.0,1617.34375,14757.8125,14912.6875
after_TabPFN[Direct allocation scorer]_final_prediction,0,Tesla T4,9.125,22.0,1309.919921875,14753.8125,14912.6875
after_TabPFN[Direct allocation scorer]_final_prediction,1,Tesla T4,9.931640625,22.0,1617.34375,14757.8125,14912.6875
after_TabPFN[Direct allocation scorer]_calibration_base_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_TabPFN[Direct allocation scorer]_calibration_base_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_TabPFN[Direct allocation scorer]_workflow,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_TabPFN[Direct allocation scorer]_workflow,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_prediction_frame_assembly,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_prediction_frame_assembly,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_cv_target_outperform_benchmark_next_1m_fold_1,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_cv_target_outperform_benchmark_next_1m_fold_1,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_cv_target_outperform_benchmark_next_1m_fold_2,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_cv_target_outperform_benchmark_next_1m_fold_2,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][XGBoost light]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][XGBoost light]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base_calibration,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base_calibration,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base_calibration,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base_calibration,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_xgboost_search_benchmark_outperform_1m,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_xgboost_search_benchmark_outperform_1m,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_cv_target_top_k_next_3m_fold_1,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_cv_target_top_k_next_3m_fold_1,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_cv_target_top_k_next_3m_fold_2,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_cv_target_top_k_next_3m_fold_2,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][XGBoost light]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
